,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
rocco,125,13.0,7.0,6.0,29.0,0.26785714285714285,0.2857142857142857,0.33538598221675114,0.33538598221675114,1.3920000000000001,MALE,1805
leonore,101,9.0,5.0,4.0,19.0,0.03571428571428571,0.11607142857142856,0.19005622152343055,0.19005622152343055,0.7524752475247525,FEMALE,1805
marzelline,55,5.0,2.0,3.0,10.0,0.008928571428571428,0.0,0.152528101138415,0.152528101138415,0.5454545454545454,FEMALE,1805
jaquino,34,5.0,3.0,2.0,9.0,0.008928571428571428,0.125,0.09708326680338916,0.09708326680338916,0.5294117647058824,MALE,1805
florestan,34,4.0,2.0,2.0,9.0,0.0,0.0,0.06801848956775622,0.06801848956775622,0.5294117647058824,MALE,1805
pizarro,38,3.0,1.0,2.0,8.0,0.0,0.05357142857142857,0.07917633768376903,0.07917633768376903,0.42105263157894735,MALE,1805
fernando,9,1.0,0.0,1.0,3.0,0.0,0.0,0.02019522087431098,0.02019522087431098,0.3333333333333333,MALE,1805
chor_der_gefangenen,4,1.0,0.0,1.0,1.0,0.0,0.0,0.02019522087431098,0.02019522087431098,0.25,,1805
zweiter_gefangener,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03736115931786674,0.03736115931786674,0.0,MALE,1805
chor_der_wache,1,,,,,,,,,,,1805
erster_gefangener,1,,,,,,,,,,MALE,1805
chor_der_gefangenen_und_des_volkes,6,,,,,,,,,,,1805
