,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sechster_zuhoerer,11,6.0,1.0,5.0,5.0,0.004978662873399715,0.004978662873399715,0.011970162613248679,0.011970162613248679,2.2727272727272725,MALE,1912
dichter_sohn_bruder_juengling,193,14.0,6.0,8.0,54.0,0.025604551920341397,0.025604551920341397,0.13914816240285194,0.13914816240285194,2.238341968911917,MALE,1912
die_erste_kokotte,4,2.0,0.0,2.0,3.0,0.0,0.0,0.009515623804900713,0.009515623804900713,1.5,FEMALE,1912
die_erscheinung_des_mannes,3,3.0,1.0,2.0,2.0,0.0007112375533428165,0.0007112375533428165,0.02756115592399146,0.02756115592399146,1.3333333333333333,MALE,1912
dritter_zuhoerer,3,2.0,0.0,2.0,2.0,0.0,0.0,0.009515623804900713,0.009515623804900713,1.3333333333333333,MALE,1912
die_erscheinung_der_ersten_frau,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0212294542118458,0.0212294542118458,1.0,FEMALE,1912
alle_viele_stimmen,12,4.0,1.0,3.0,4.0,0.001422475106685633,0.001422475106685633,0.011550584660986189,0.011550584660986189,1.0,,1912
eine_der_drei_kokotten_rechts_1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009515623804900713,0.009515623804900713,1.0,FEMALE,1912
die_mutter,60,6.0,3.0,3.0,14.0,0.0,0.0017780938833570413,0.06255352909595961,0.06255352909595961,0.7,FEMALE,1912
die_schwester,13,3.0,1.0,2.0,4.0,0.0,0.005689900426742532,0.013895973242999097,0.013895973242999097,0.6153846153846154,FEMALE,1912
der_vater,86,6.0,3.0,3.0,15.0,0.0,0.0,0.06557269754623314,0.06557269754623314,0.5232558139534884,MALE,1912
dritter_flieger,8,3.0,1.0,2.0,2.0,0.0021337126600284497,0.0021337126600284497,0.035329428990856865,0.035329428990856865,0.5,MALE,1912
zweiter_liebhaber,2,1.0,0.0,1.0,1.0,0.0,0.0,0.009515623804900713,0.009515623804900713,0.5,MALE,1912
die_dritte_kokotte,8,5.0,3.0,2.0,2.0,0.006401137980085349,0.006401137980085349,0.05478504925839185,0.05478504925839185,0.5,FEMALE,1912
erster_zuhoerer,3,2.0,1.0,1.0,1.0,0.001422475106685633,0.001422475106685633,0.011550584660986189,0.011550584660986189,0.3333333333333333,MALE,1912
die_liebhaber,3,2.0,1.0,1.0,1.0,0.0007112375533428165,0.0007112375533428165,0.01760402277911881,0.01760402277911881,0.3333333333333333,,1912
das_maedchen,47,5.0,3.0,2.0,6.0,0.009246088193456615,0.009246088193456615,0.04464880221399839,0.04464880221399839,0.2553191489361702,FEMALE,1912
die_kokotten,4,1.0,0.0,1.0,1.0,0.0,0.0,0.009515623804900713,0.009515623804900713,0.25,,1912
vierter_zuhoerer,4,3.0,2.0,1.0,1.0,0.0021337126600284497,0.0021337126600284497,0.015594784148095236,0.015594784148095236,0.25,MALE,1912
der_aeltere_freund,38,2.0,1.0,1.0,9.0,0.0,0.0,0.022656672119195868,0.022656672119195868,0.23684210526315788,MALE,1912
die_vierte_kokotte,5,2.0,1.0,1.0,1.0,0.0021337126600284497,0.0021337126600284497,0.03280036199538421,0.03280036199538421,0.2,FEMALE,1912
zweiter_flieger,6,2.0,1.0,1.0,1.0,0.001422475106685633,0.001422475106685633,0.030368000363675107,0.030368000363675107,0.16666666666666666,MALE,1912
erster_kritiker,7,2.0,1.0,1.0,1.0,0.001422475106685633,0.001422475106685633,0.011550584660986189,0.011550584660986189,0.14285714285714285,MALE,1912
die_zweite_kokotte,8,2.0,1.0,1.0,1.0,0.001422475106685633,0.001422475106685633,0.03739729331546118,0.03739729331546118,0.125,FEMALE,1912
erster_flieger,11,2.0,1.0,1.0,1.0,0.0007112375533428165,0.0007112375533428165,0.024531314283414613,0.024531314283414613,0.09090909090909091,MALE,1912
vierter_flieger,5,1.0,1.0,0.0,0.0,0.0,0.0,0.024531314283414613,0.024531314283414613,0.0,MALE,1912
dritter_kritiker,5,1.0,1.0,0.0,0.0,0.0,0.0,0.019333779038292573,0.019333779038292573,0.0,MALE,1912
zweiter_vorlesender,8,1.0,1.0,0.0,0.0,0.0,0.0,0.014424701421596643,0.014424701421596643,0.0,MALE,1912
siebenter_zuhoerer,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011970162613248679,0.011970162613248679,0.0,MALE,1912
erster_vorlesender,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011705798523949906,0.011705798523949906,0.0,MALE,1912
zweiter_zuhoerer,2,2.0,2.0,0.0,0.0,0.0,0.0,0.02337797852540162,0.02337797852540162,0.0,MALE,1912
fuenfter_liebhaber,1,1.0,1.0,0.0,0.0,0.0,0.0,0.02447930943761091,0.02447930943761091,0.0,MALE,1912
die_krankenschwester,3,1.0,1.0,0.0,0.0,0.0,0.0,0.015840665369240392,0.015840665369240392,0.0,FEMALE,1912
