,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
luther,138,22.0,9.0,21.0,13.0,50.0,0.12192118226600986,0.11945812807881774,0.15897911990941554,0.15897911990941554,4.7101449275362315,MALE,1924
papst,10,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.009449531687815642,0.009449531687815642,2.0,MALE,1924
der_heilige,38,9.0,4.0,6.0,5.0,9.0,0.022167487684729065,0.022167487684729065,0.06925408229056228,0.06925408229056228,1.1842105263157894,MALE,1924
eine_dringende_stimme,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009449531687815642,0.009449531687815642,1.0,UNKNOWN,1924
bruder_johannes,61,5.0,2.0,20.0,3.0,14.0,0.019704433497536946,0.019704433497536946,0.06473030016348597,0.06473030016348597,0.6885245901639344,MALE,1924
vierte_gestalt_kranachs_frau,9,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.009449531687815642,0.009449531687815642,0.6666666666666666,FEMALE,1924
der_boese,8,4.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0258346639844792,0.0258346639844792,0.5,MALE,1924
erste_gestalt_jonas,17,4.0,2.0,9.0,2.0,3.0,0.0006157635467980296,0.0024630541871921183,0.04196804226421012,0.04196804226421012,0.35294117647058826,MALE,1924
bruder_peter,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08705698422373527,0.08705698422373527,0.3333333333333333,MALE,1924
der_heilige_engel,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.06299320573732597,0.06299320573732597,0.3333333333333333,MALE,1924
der_bruder_leo,20,3.0,1.0,4.0,2.0,3.0,0.009852216748768473,0.009852216748768473,0.03561234458489368,0.03561234458489368,0.3,MALE,1924
dritte_gestalt_bugenhagen,14,4.0,2.0,6.0,2.0,2.0,0.0006157635467980296,0.017241379310344827,0.025640241528897656,0.025640241528897656,0.2857142857142857,MALE,1924
krueppel,5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012152199031031933,0.012152199031031933,0.2,MALE,1924
fuenfte_gestalt_lukas_kranach,7,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.020260201060680803,0.020260201060680803,0.14285714285714285,MALE,1924
pietro,7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.02253093813635466,0.02253093813635466,0.14285714285714285,MALE,1924
bischof,7,3.0,2.0,2.0,1.0,1.0,0.006157635467980296,0.006157635467980296,0.035141632262510616,0.035141632262510616,0.14285714285714285,MALE,1924
zweite_gestalt_apel,8,3.0,2.0,4.0,1.0,1.0,0.0,0.008004926108374385,0.029448569896853533,0.029448569896853533,0.125,MALE,1924
der_bruder_ginepro,8,2.0,1.0,1.0,1.0,1.0,0.006157635467980296,0.006157635467980296,0.01953975679643205,0.01953975679643205,0.125,MALE,1924
bruder_thaddaeus,9,3.0,2.0,3.0,1.0,1.0,0.011083743842364532,0.011083743842364532,0.09131522568640643,0.09131522568640643,0.1111111111111111,MALE,1924
die_nonne_katharina,13,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012152199031031933,0.012152199031031933,0.07692307692307693,FEMALE,1924
chor_volk_stimmen_rufe_2-6,8,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.022481608632226226,0.022481608632226226,0.0,,1924
geschoepf,6,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.01755753371746451,0.01755753371746451,0.0,MALE,1924
ruf_rechts_2-6b,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017481651062817335,0.017481651062817335,0.0,UNKNOWN,1924
das_weib_in_nonnentracht,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012152199031031933,0.012152199031031933,0.0,FEMALE,1924
der_bruder_bernhard,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0260584052731404,0.0260584052731404,0.0,MALE,1924
kardinal_1-3a,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01105595556281598,0.01105595556281598,0.0,MALE,1924
ein_kardinal_1-3b,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01105595556281598,0.01105595556281598,0.0,MALE,1924
kardinal_johannes_von_paul,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01105595556281598,0.01105595556281598,0.0,MALE,1924
alle_brueder,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01599023491208515,0.01599023491208515,0.0,,1924
chorus_der_brueder,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012152199031031933,0.012152199031031933,0.0,,1924
