,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wohlau,69,12,5,7,28,0.23379629629629628,0.2708333333333333,0.09040609519122127,0.09040609519122127,2.8405797101449277,MALE,1767
julie,66,12,6,6,27,0.22685185185185186,0.4375,0.13237587365707748,0.13237587365707748,2.4545454545454546,FEMALE,1767
der_bediente,2,4,2,2,2,0.004629629629629629,0.16666666666666666,0.023833639764137313,0.023833639764137313,2.0,MALE,1767
belmont,39,7,4,3,17,0.12962962962962962,0.1111111111111111,0.18224733012817307,0.18224733012817307,1.3076923076923077,MALE,1767
frau_von_wichmann,45,8,4,4,12,0.27314814814814814,0.25,0.12491748026289316,0.12491748026289316,1.0666666666666667,FEMALE,1767
dalton,34,6,3,3,12,0.034722222222222224,0.034722222222222224,0.08596358035858317,0.08596358035858317,1.0588235294117647,FEMALE,1767
woldemar,36,5,2,3,9,0.0324074074074074,0.0,0.048136634854967636,0.048136634854967636,0.75,MALE,1767
der_capitain,30,4,2,2,11,0.0,0.0,0.04264764618030682,0.04264764618030682,0.7333333333333333,MALE,1767
werneck,14,3,2,1,7,0.0,0.0,0.07052137121944074,0.07052137121944074,0.5,MALE,1767
peter,38,7,4,3,6,0.3287037037037037,0.4097222222222222,0.19895034838319922,0.19895034838319922,0.47368421052631576,MALE,1767
