,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
winkelmann,165,13,6,23,7,71,0.22453703703703698,0.2222222222222222,0.10938737732350896,0.10938737732350896,3.012121212121212,MALE,1894
else,219,15,7,40,8,55,0.11898148148148147,0.25,0.14036241779733166,0.14036241779733166,2.009132420091324,FEMALE,1894
rosi,264,14,7,94,7,53,0.06342592592592591,0.0,0.24658114594382677,0.24658114594382677,1.4053030303030303,FEMALE,1894
kessler,176,12,6,40,6,39,0.02754629629629629,0.15277777777777776,0.11382080411941549,0.11382080411941549,1.3295454545454546,MALE,1894
wilhelm,61,9,5,12,4,20,0.003472222222222222,0.375,0.0590285780072104,0.0590285780072104,1.3114754098360655,MALE,1894
frau_hergentheim,173,13,6,29,7,28,0.07037037037037036,0.09722222222222221,0.10021576516600302,0.10021576516600302,1.1329479768786128,FEMALE,1894
max,124,7,3,42,4,26,0.0,0.0,0.10454856616255784,0.10454856616255784,0.8387096774193549,MALE,1894
laura,106,9,5,24,4,18,0.005555555555555556,0.125,0.07927826395758894,0.07927826395758894,0.6792452830188679,FEMALE,1894
comptoirdiener,6,2,1,4,1,1,0.0,0.0,0.0223173530404988,0.0223173530404988,0.16666666666666666,MALE,1894
dr_kosinski,21,2,2,3,0,0,0.0,0.0,0.024459728482057977,0.024459728482057977,0.0,MALE,1894
