,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
schwartze,188,16.0,8.0,38.0,8.0,64.0,0.1729166666666667,0.16666666666666669,0.13293638408172698,0.13293638408172698,2.723404255319149,MALE,1893
frau_schwartze,100,13.0,5.0,22.0,8.0,29.0,0.0984848484848485,0.15530303030303033,0.07514733266292006,0.07514733266292006,2.32,FEMALE,1893
magda,281,19.0,10.0,67.0,9.0,70.0,0.2638257575757576,0.2272727272727273,0.2067523100277242,0.2067523100277242,2.2419928825622777,FEMALE,1893
marie,119,14.0,7.0,43.0,7.0,29.0,0.05864898989898989,0.030303030303030304,0.13454575349895823,0.13454575349895823,1.7058823529411764,FEMALE,1893
max,66,9.0,4.0,18.0,5.0,16.0,0.008838383838383838,0.17424242424242425,0.07622699066072862,0.07622699066072862,1.2121212121212122,MALE,1893
pfarrer,133,12.0,7.0,36.0,5.0,31.0,0.05145202020202019,0.27146464646464646,0.10466702948183407,0.10466702948183407,1.1654135338345863,MALE,1893
franziska,62,11.0,6.0,17.0,5.0,13.0,0.024242424242424246,0.12247474747474746,0.056341510002035314,0.056341510002035314,1.0483870967741935,FEMALE,1893
general,16,7.0,3.0,3.0,4.0,4.0,0.1590909090909091,0.2878787878787879,0.030894999902329835,0.030894999902329835,1.0,MALE,1893
frau_ellrich,6,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.01153846153846154,0.01153846153846154,1.0,FEMALE,1893
therese,27,5.0,3.0,9.0,2.0,10.0,0.0015151515151515154,0.13888888888888887,0.044216524005736085,0.044216524005736085,0.7407407407407407,FEMALE,1893
keller,99,7.0,4.0,34.0,3.0,16.0,0.001893939393939394,0.0,0.0913108687546873,0.0913108687546873,0.48484848484848486,MALE,1893
generalin,11,3.0,2.0,2.0,1.0,4.0,0.0,0.0,0.017318215151610337,0.017318215151610337,0.36363636363636365,FEMALE,1893
professor,7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.018103620231247508,0.018103620231247508,0.14285714285714285,MALE,1893
