,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
goettlingk,97,19.0,8.0,21.0,11.0,37.0,0.2373015873015873,0.37694444444444447,0.07989163035238994,0.07989163035238994,4.195876288659793,MALE,1905
zarncke,261,19.0,8.0,27.0,11.0,99.0,0.20863095238095236,0.18277777777777782,0.0839591286488763,0.0839591286488763,4.172413793103448,MALE,1905
lore,188,13.0,6.0,53.0,7.0,44.0,0.034176587301587305,0.09194444444444444,0.1438113737010685,0.1438113737010685,1.6382978723404256,FEMALE,1905
lohmann,58,11.0,5.0,12.0,6.0,15.0,0.032986111111111105,0.1890277777777778,0.053466453820121225,0.053466453820121225,1.5517241379310347,MALE,1905
biegler,247,14.0,8.0,86.0,6.0,53.0,0.05327380952380952,0.03361111111111111,0.2054234628569574,0.2054234628569574,1.2874493927125505,MALE,1905
marie,137,9.0,4.0,33.0,5.0,31.0,0.019494047619047616,0.00625,0.06482240110335606,0.06482240110335606,1.1313868613138687,FEMALE,1905
ein_steinmetz,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011768822943682339,0.011768822943682339,1.0,MALE,1905
struve,107,11.0,6.0,45.0,5.0,21.0,0.04365079365079364,0.04569444444444445,0.13451533914935165,0.13451533914935165,0.9813084112149533,MALE,1905
reitmaier,36,4.0,2.0,8.0,2.0,13.0,0.0,0.0,0.036430627280779414,0.036430627280779414,0.7222222222222222,MALE,1905
eichholz,74,7.0,3.0,21.0,4.0,11.0,0.0,0.004166666666666667,0.04439507926344748,0.04439507926344748,0.5945945945945946,MALE,1905
sprengel,26,7.0,4.0,8.0,3.0,5.0,0.007638888888888889,0.14444444444444443,0.040117231699057086,0.040117231699057086,0.576923076923077,MALE,1905
frau_homeyer,37,4.0,2.0,9.0,2.0,8.0,0.0,0.0,0.019371012388891433,0.019371012388891433,0.43243243243243246,FEMALE,1905
willig,32,5.0,3.0,11.0,2.0,5.0,0.0045138888888888885,0.040972222222222215,0.023121658224181316,0.023121658224181316,0.3125,MALE,1905
lenchen,15,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.017045211471346532,0.017045211471346532,0.0,FEMALE,1905
jenisch,8,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.014652249818672946,0.014652249818672946,0.0,MALE,1905
die_anderen_am_steinmetztische,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013604158638910215,0.013604158638910215,0.0,,1905
stimmen_von_der_strasse_her,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013604158638910215,0.013604158638910215,0.0,,1905
