,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lampl,121,14.0,6.0,8.0,29.0,0.13952020202020204,0.04292929292929293,0.15968758935937105,0.15968758935937105,1.9173553719008265,MALE,1901
frau_bezirksamtmann,74,13.0,7.0,6.0,23.0,0.19507575757575754,0.2032828282828283,0.17134229436273835,0.17134229436273835,1.864864864864865,FEMALE,1901
grubhofer,28,13.0,7.0,6.0,8.0,0.0726010101010101,0.15782828282828282,0.07177463686012625,0.07177463686012625,1.7142857142857142,MALE,1901
merkl,37,8.0,3.0,5.0,12.0,0.0202020202020202,0.03787878787878788,0.04839275201487412,0.04839275201487412,1.6216216216216217,MALE,1901
assessor,56,16.0,8.0,8.0,9.0,0.11553030303030304,0.18434343434343434,0.10285196533840515,0.10285196533840515,1.2857142857142858,MALE,1901
haeberlein,23,5.0,1.0,4.0,7.0,0.003787878787878788,0.007575757575757576,0.018667572329909978,0.018667572329909978,1.2173913043478262,MALE,1901
frau_neusigl,47,11.0,4.0,7.0,7.0,0.09090909090909091,0.1313131313131313,0.042275984838845225,0.042275984838845225,1.0425531914893615,FEMALE,1901
regierungsdirektor_steinbeissel,1,1.0,0.0,1.0,1.0,0.0,0.0,0.013534070053026434,0.013534070053026434,1.0,MALE,1901
bezirksamtmann,134,13.0,8.0,5.0,24.0,0.14709595959595959,0.13510101010101008,0.19794995989334746,0.19794995989334746,0.8955223880597014,MALE,1901
hahnrieder,46,10.0,6.0,4.0,7.0,0.020833333333333336,0.1919191919191919,0.0651680338005129,0.0651680338005129,0.6086956521739131,MALE,1901
babette,8,3.0,1.0,2.0,2.0,0.0,0.0101010101010101,0.019866357836220035,0.019866357836220035,0.5,FEMALE,1901
peter_neusigl,28,5.0,4.0,1.0,1.0,0.00505050505050505,0.025252525252525252,0.05796757726349123,0.05796757726349123,0.03571428571428571,MALE,1901
sedlmaier,26,2.0,2.0,0.0,0.0,0.0,0.0,0.030521206049131874,0.030521206049131874,0.0,MALE,1901
anna,1,,,,,,,,,,FEMALE,1901
