,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
stueve,137,14.0,7.0,7.0,44.0,0.4166666666666667,0.5625,0.23848505017761273,0.23848505017761273,2.2481751824817517,MALE,1910
filser,207,12.0,5.0,7.0,55.0,0.2886904761904761,0.25,0.24945868309060765,0.24945868309060765,1.8599033816425121,MALE,1910
gsottmaier,106,5.0,2.0,3.0,33.0,0.0,0.0,0.09913144170764962,0.09913144170764962,0.9339622641509433,MALE,1910
scheibler,115,10.0,5.0,5.0,21.0,0.15773809523809523,0.36607142857142855,0.16166029076368096,0.16166029076368096,0.9130434782608696,MALE,1910
schaffner,18,4.0,2.0,2.0,5.0,0.0,0.25,0.03896760708781018,0.03896760708781018,0.5555555555555556,MALE,1910
zugfuehrer,27,4.0,2.0,2.0,5.0,0.0,0.0,0.04744734001379728,0.04744734001379728,0.37037037037037035,MALE,1910
frau_von_kleewitz,23,5.0,3.0,2.0,2.0,0.13095238095238093,0.46428571428571425,0.08094236587074305,0.08094236587074305,0.17391304347826086,FEMALE,1910
kleewitz,28,4.0,3.0,1.0,4.0,0.005952380952380952,0.0,0.06338525795243823,0.06338525795243823,0.14285714285714285,MALE,1910
frau_filser,17,2.0,1.0,1.0,2.0,0.0,0.0,0.020521963335660285,0.020521963335660285,0.11764705882352941,FEMALE,1910
die_rekruten,0,,,,,,,,,,MALE,1910
