,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
thomas,378,16.0,8.0,71.0,8.0,129.0,0.46969696969696967,0.45454545454545453,0.27212189705514134,0.27212189705514134,2.7301587301587302,MALE,1912
leni,244,11.0,6.0,82.0,5.0,58.0,0.20606060606060603,0.2545454545454545,0.22490761447147362,0.22490761447147362,1.1885245901639343,FEMALE,1912
mariann,159,6.0,3.0,39.0,3.0,43.0,0.021212121212121213,0.01818181818181818,0.11349363675266225,0.11349363675266225,0.8113207547169812,FEMALE,1912
koeckenberger,35,6.0,3.0,11.0,3.0,9.0,0.0,0.08181818181818182,0.039010591923714026,0.039010591923714026,0.7714285714285714,MALE,1912
buergermeister,108,8.0,4.0,36.0,4.0,18.0,0.13939393939393938,0.14545454545454545,0.09428532826532177,0.09428532826532177,0.6666666666666666,MALE,1912
gendarm,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013792335757826119,0.013792335757826119,0.5,MALE,1912
lechner,9,5.0,3.0,3.0,2.0,2.0,0.03636363636363636,0.34545454545454546,0.025899439118051103,0.025899439118051103,0.4444444444444444,MALE,1912
scheck,11,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.013792335757826119,0.013792335757826119,0.36363636363636365,MALE,1912
barbara,50,2.0,1.0,10.0,1.0,18.0,0.0,0.0,0.046752565604654864,0.046752565604654864,0.36,FEMALE,1912
lenz,120,4.0,2.0,35.0,2.0,17.0,0.0,0.0,0.10059724401027402,0.10059724401027402,0.2833333333333333,MALE,1912
plank,45,2.0,1.0,13.0,1.0,4.0,0.0,0.0,0.037102389782446385,0.037102389782446385,0.08888888888888889,MALE,1912
viele_stimmen,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.018244621500608252,0.018244621500608252,0.0,,1912
