,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
beermann,301,17.0,8.0,55.0,9.0,99.0,0.6108058608058609,0.5306776556776557,0.21965947918971113,0.21965947918971113,2.9601328903654482,MALE,1908
frau_lund,60,11.0,4.0,12.0,7.0,17.0,0.030219780219780217,0.1336996336996337,0.04284368216243797,0.04284368216243797,1.9833333333333334,FEMALE,1908
stroebel,260,11.0,5.0,80.0,6.0,61.0,0.4478021978021978,0.42307692307692313,0.25369017687014933,0.25369017687014933,1.4076923076923076,MALE,1908
bolland,75,8.0,3.0,8.0,5.0,21.0,0.03571428571428572,0.038461538461538464,0.028494495488628563,0.028494495488628563,1.4000000000000001,MALE,1908
hauser,91,8.0,4.0,26.0,4.0,20.0,0.011446886446886446,0.024725274725274728,0.06069946306957291,0.06069946306957291,0.8791208791208791,MALE,1908
praesident,66,4.0,2.0,10.0,2.0,26.0,0.0,0.0,0.0440420919389162,0.0440420919389162,0.7878787878787878,MALE,1908
frau_beermann,66,6.0,3.0,21.0,3.0,14.0,0.04075091575091575,0.13415750915750915,0.05376882335499503,0.05376882335499503,0.6363636363636364,FEMALE,1908
effie,15,4.0,2.0,3.0,2.0,4.0,0.026556776556776556,0.17582417582417584,0.016727137808223647,0.016727137808223647,0.5333333333333333,FEMALE,1908
schmettau,34,5.0,3.0,5.0,2.0,7.0,0.024725274725274728,0.3186813186813187,0.024744112311084032,0.024744112311084032,0.4117647058823529,MALE,1908
frau_bolland,23,4.0,2.0,3.0,2.0,3.0,0.007326007326007326,0.15384615384615385,0.016674283280722284,0.016674283280722284,0.2608695652173913,FEMALE,1908
reisacher,23,2.0,1.0,11.0,1.0,4.0,0.0,0.0,0.049699103081285806,0.049699103081285806,0.17391304347826086,MALE,1908
wasner,59,6.0,4.0,14.0,2.0,5.0,0.003205128205128205,0.059981684981684984,0.041007479906337824,0.041007479906337824,0.1694915254237288,MALE,1908
hauteville,68,2.0,1.0,23.0,1.0,7.0,0.0,0.0,0.09212024391345536,0.09212024391345536,0.10294117647058823,FEMALE,1908
dobler,25,5.0,4.0,17.0,1.0,1.0,0.025183150183150184,0.1185897435897436,0.04148127523666914,0.04148127523666914,0.04,MALE,1908
schutzmann,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014348152387811173,0.014348152387811173,0.0,MALE,1908
