,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,84,17.0,5.0,12.0,33.0,0.20562724014336917,0.2661290322580645,0.05579390653441288,0.05579390653441288,4.714285714285714,MALE,1797
hanswurst,34,9.0,4.0,5.0,8.0,0.17125448028673834,0.17956989247311828,0.07341687790673365,0.07341687790673365,1.1764705882352942,MALE,1797
die_kunstrichter,1,2.0,1.0,1.0,1.0,0.006630824372759856,0.023118279569892472,0.012642119575317176,0.012642119575317176,1.0,,1797
fischer,23,8.0,4.0,4.0,5.0,0.12279569892473118,0.12311827956989248,0.04754589502356424,0.04754589502356424,0.8695652173913043,MALE,1797
er,14,3.0,1.0,2.0,6.0,0.0,0.0,0.026607440971488646,0.026607440971488646,0.8571428571428571,MALE,1797
schuhmacher,8,3.0,1.0,2.0,3.0,0.0,0.008602150537634409,0.012642119575317176,0.012642119575317176,0.75,MALE,1797
gottlieb,61,5.0,2.0,3.0,15.0,0.04265232974910394,0.0478494623655914,0.06586385656858545,0.06586385656858545,0.7377049180327868,MALE,1797
hinze,103,14.0,9.0,5.0,15.0,0.29874551971326163,0.28225806451612906,0.13454481907644295,0.13454481907644295,0.7281553398058251,MALE,1797
sie,12,3.0,1.0,2.0,4.0,0.0,0.0,0.027757986550812037,0.027757986550812037,0.6666666666666666,FEMALE,1797
wirt,20,7.0,4.0,3.0,4.0,0.09078853046594981,0.10752688172043011,0.054207795968364544,0.054207795968364544,0.6000000000000001,MALE,1797
prinzessin,27,5.0,2.0,3.0,5.0,0.006164874551971326,0.013440860215053764,0.04120095130144137,0.04120095130144137,0.5555555555555556,FEMALE,1797
kunz,8,4.0,2.0,2.0,2.0,0.006845878136200717,0.013978494623655914,0.01878807952545805,0.01878807952545805,0.5,MALE,1797
michel,2,1.0,0.0,1.0,1.0,0.0,0.0,0.00890996296135794,0.00890996296135794,0.5,MALE,1797
koch,2,1.0,0.0,1.0,1.0,0.0,0.0,0.00890996296135794,0.00890996296135794,0.5,MALE,1797
popanz,15,4.0,2.0,2.0,3.0,0.046236559139784944,0.046236559139784944,0.031755771248932724,0.031755771248932724,0.4,UNKNOWN,1797
schlosser,24,5.0,2.0,3.0,3.0,0.05473118279569892,0.05161290322580645,0.045418407891287815,0.045418407891287815,0.375,MALE,1797
leutner,14,3.0,1.0,2.0,2.0,0.0016129032258064516,0.002688172043010753,0.016992887729845793,0.016992887729845793,0.2857142857142857,MALE,1797
lorenz,8,3.0,2.0,1.0,2.0,0.014336917562724014,0.010752688172043012,0.033296528261978854,0.033296528261978854,0.25,MALE,1797
amtmann,5,2.0,1.0,1.0,1.0,0.0,0.0,0.01790719221672745,0.01790719221672745,0.2,MALE,1797
leander,34,5.0,3.0,2.0,3.0,0.0064516129032258064,0.008602150537634409,0.049374451355731666,0.049374451355731666,0.17647058823529413,MALE,1797
dichter,6,1.0,0.0,1.0,1.0,0.0,0.0,0.00890996296135794,0.00890996296135794,0.16666666666666666,MALE,1797
wiesener,7,3.0,2.0,1.0,1.0,0.02258064516129032,0.02258064516129032,0.02461744650568413,0.02461744650568413,0.14285714285714285,MALE,1797
mueller,18,3.0,2.0,1.0,1.0,0.01867383512544803,0.034408602150537634,0.02393195086015286,0.02393195086015286,0.05555555555555555,MALE,1797
soldat,6,1.0,1.0,0.0,0.0,0.0,0.0,0.03194709829393176,0.03194709829393176,0.0,MALE,1797
nathanael,11,1.0,1.0,0.0,0.0,0.0,0.0,0.016095636720206103,0.016095636720206103,0.0,MALE,1797
nachbar,4,1.0,1.0,0.0,0.0,0.0,0.0,0.029834100870659422,0.029834100870659422,0.0,MALE,1797
kammerdiener,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010347097713127574,0.010347097713127574,0.0,MALE,1797
historiograph,2,1.0,1.0,0.0,0.0,0.0,0.0,0.010347097713127574,0.010347097713127574,0.0,MALE,1797
ein_bedienter,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011784232464897204,0.011784232464897204,0.0,MALE,1797
ein_hofmann,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010347097713127574,0.010347097713127574,0.0,MALE,1797
besaenftiger,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01648330438287758,0.01648330438287758,0.0,MALE,1797
boetticher,12,1.0,1.0,0.0,0.0,0.0,0.0,0.021777960595691943,0.021777960595691943,0.0,MALE,1797
barthel,1,,,,,,,,,,MALE,1797
erster_husar,3,,,,,,,,,,MALE,1797
zweiter_husar,2,,,,,,,,,,MALE,1797
das_parterre,1,,,,,,,,,,,1797
alle_2-4,1,,,,,,,,,,,1797
die_vierfuessigen,2,,,,,,,,,,,1797
die_voegel,1,,,,,,,,,,,1797
bauer,3,,,,,,,,,,MALE,1797
