,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
julie,63,10,4,6,24,0.03587962962962962,0.0,0.11355530224439644,0.11355530224439644,2.2857142857142856,FEMALE,1797
ahlfeld,106,14,7,7,31,0.32523148148148145,0.3935185185185185,0.1399162779680626,0.1399162779680626,2.047169811320755,MALE,1797
dornberg,63,10,5,5,20,0.030092592592592587,0.14814814814814817,0.07993216415445026,0.07993216415445026,1.5873015873015872,MALE,1797
wagemann,24,9,4,5,7,0.21990740740740738,0.4537037037037037,0.05125086050084732,0.05125086050084732,1.4583333333333335,MALE,1797
ehlert,90,9,5,4,23,0.03587962962962962,0.027777777777777776,0.1713074184225724,0.1713074184225724,1.0222222222222221,MALE,1797
werner_wahrsagerin,122,10,6,4,30,0.037037037037037035,0.0,0.25716567387447437,0.25716567387447437,0.9836065573770492,MALE,1797
baeckerknecht,9,2,0,2,4,0.0,0.0,0.015000000000000003,0.015000000000000003,0.8888888888888888,MALE,1797
rothmann,75,10,6,4,12,0.024305555555555552,0.05555555555555555,0.12797612715494905,0.12797612715494905,0.64,MALE,1797
walther,9,2,1,1,2,0.0,0.0,0.02267291358923415,0.02267291358923415,0.2222222222222222,MALE,1797
berger,9,2,1,1,1,0.0,0.0,0.021223262091013363,0.021223262091013363,0.1111111111111111,MALE,1797
