,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
skaramuz,95,29.0,8.0,21.0,48.0,0.2706615420451899,0.28182423213869756,0.039727080098199544,0.039727080098199544,10.610526315789475,MALE,1800
apollo,37,15.0,7.0,8.0,14.0,0.08817843000232936,0.12034957239359753,0.02851959818288344,0.02851959818288344,3.027027027027027,MALE,1800
phyllis,6,5.0,2.0,3.0,4.0,0.009433962264150943,0.016551861834880704,0.007585399646981908,0.007585399646981908,2.0,FEMALE,1800
vierter_gast,9,4.0,1.0,3.0,5.0,0.014675052410901467,0.014675052410901467,0.009455192323360503,0.009455192323360503,1.6666666666666667,MALE,1800
fremder,47,9.0,4.0,5.0,14.0,0.049580712788259956,0.0017470300489168412,0.05153786674555616,0.05153786674555616,1.4893617021276595,MALE,1800
melpomene,23,8.0,4.0,4.0,7.0,0.04973212205916608,0.059631959003028166,0.043418897575908375,0.043418897575908375,1.2173913043478262,FEMALE,1800
mopsa,5,3.0,1.0,2.0,3.0,0.00017470300489168413,0.00017470300489168413,0.006857658814492526,0.006857658814492526,1.2,FEMALE,1800
wirt,34,8.0,4.0,4.0,10.0,0.06245050081528069,0.050978336827393424,0.033063417076725006,0.033063417076725006,1.1764705882352942,MALE,1800
aulicus,12,6.0,3.0,3.0,4.0,0.02695085022129047,0.05314465408805031,0.010446979565152035,0.010446979565152035,1.0,MALE,1800
vater,10,3.0,1.0,2.0,4.0,0.047519217330538085,0.047519217330538085,0.004337360797487269,0.004337360797487269,0.8,MALE,1800
admet,13,3.0,1.0,2.0,5.0,0.0,0.0,0.012291623493901772,0.012291623493901772,0.7692307692307693,MALE,1800
emilie,8,3.0,1.0,2.0,3.0,0.02585604472396925,0.02585604472396925,0.017504167491352376,0.017504167491352376,0.75,FEMALE,1800
neptun,6,4.0,2.0,2.0,2.0,0.03336827393431167,0.04419653256131243,0.015211595924642761,0.015211595924642761,0.6666666666666666,MALE,1800
alceste,6,4.0,2.0,2.0,2.0,0.0004658746797111577,0.007628697880270205,0.00954457555880285,0.00954457555880285,0.6666666666666666,FEMALE,1800
myrtill,14,7.0,4.0,3.0,3.0,0.06519916142557652,0.08460783334997171,0.014231310906834854,0.014231310906834854,0.6428571428571428,MALE,1800
anne,10,2.0,1.0,1.0,6.0,0.0,0.0,0.006444267375754809,0.006444267375754809,0.6,FEMALE,1800
