,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
walther,72,18,8,10,32,0.3065359477124183,0.275599128540305,0.05383105368122225,0.05383105368122225,4.444444444444445,MALE,1797
karl,202,16,8,8,73,0.09411764705882353,0.014705882352941176,0.12845159870347334,0.12845159870347334,2.891089108910891,MALE,1797
mathilde,102,11,4,7,39,0.0712962962962963,0.20642701525054466,0.06965780978437197,0.06965780978437197,2.676470588235294,FEMALE,1797
conrad,111,15,6,9,28,0.13932461873638344,0.2799564270152506,0.08945894717304867,0.08945894717304867,2.27027027027027,MALE,1797
reinhard,125,17,10,7,33,0.13883442265795207,0.08278867102396514,0.10956961875138507,0.10956961875138507,1.848,MALE,1797
leopold,133,10,5,5,46,0.009531590413943355,0.0,0.0807534313302733,0.0807534313302733,1.7293233082706765,MALE,1797
heinrich,66,12,6,6,15,0.06497821350762527,0.1895424836601307,0.0637600941864327,0.0637600941864327,1.3636363636363635,MALE,1797
adelheid,55,8,5,3,20,0.057734204793028314,0.06535947712418301,0.042055058971451426,0.042055058971451426,1.0909090909090908,FEMALE,1797
burgvoigt,18,5,2,3,6,0.06862745098039216,0.09150326797385622,0.014166315833216557,0.014166315833216557,1.0,MALE,1797
die_gestalt,3,2,1,1,2,0.0,0.0,0.009788341828602965,0.009788341828602965,0.6666666666666666,UNKNOWN,1797
wilhelm,31,5,2,3,6,0.005446623093681917,0.0,0.0409849780461634,0.0409849780461634,0.5806451612903225,MALE,1797
zweiter_knecht,5,2,1,1,2,0.0,0.0,0.060089819848295076,0.060089819848295076,0.4,MALE,1797
erster_knecht,6,3,2,1,2,0.05228758169934641,0.05228758169934641,0.060868760331561106,0.060868760331561106,0.3333333333333333,MALE,1797
rudolph,12,5,3,2,2,0.0010893246187363833,0.133442265795207,0.014022269110000618,0.014022269110000618,0.3333333333333333,MALE,1797
franz,38,5,3,2,6,0.07516339869281045,0.08823529411764706,0.06738140863874353,0.06738140863874353,0.3157894736842105,MALE,1797
minnesaenger,4,1,0,1,1,0.0,0.0,0.008358450009821378,0.008358450009821378,0.25,MALE,1797
georg,29,3,2,1,6,0.0032679738562091504,0.0032679738562091504,0.05809326983953522,0.05809326983953522,0.20689655172413793,MALE,1797
hofmeisterin,14,3,2,1,2,0.0,0.0016339869281045752,0.018343425243845902,0.018343425243845902,0.14285714285714285,FEMALE,1797
knecht_der_eine_fackel_traegt,1,1,1,0,0,0.0,0.0,0.010365348688555322,0.010365348688555322,0.0,MALE,1797
