,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gottlieb,150,26.0,10.0,22.0,16.0,51.0,0.06767926757150892,0.07073257202567544,0.026450494591014347,0.026450494591014347,5.44,MALE,1799
jeremias,166,22.0,10.0,44.0,12.0,57.0,0.09425922497043193,0.09686769169527792,0.06120335641826318,0.06120335641826318,4.120481927710843,MALE,1799
nestor,202,35.0,17.0,49.0,18.0,44.0,0.1846126853669958,0.20228337167012722,0.0804867295621784,0.0804867295621784,3.9207920792079207,MALE,1799
polykomikus,92,22.0,12.0,23.0,10.0,28.0,0.06785519716554204,0.10613255822895323,0.022636196188483577,0.022636196188483577,3.0434782608695654,MALE,1799
zerbino,176,28.0,14.0,36.0,14.0,38.0,0.1592919492703975,0.13496369313375584,0.06252548281169328,0.06252548281169328,3.022727272727273,MALE,1799
sicamber,14,7.0,2.0,5.0,5.0,6.0,0.0006869806438771957,0.0013322884012539186,0.006523603263279659,0.006523603263279659,2.142857142857143,MALE,1799
hanswurst,139,22.0,12.0,32.0,10.0,27.0,0.07073957332578025,0.11465271275224251,0.035165405392834,0.035165405392834,1.9424460431654678,MALE,1799
curio,59,13.0,6.0,12.0,7.0,16.0,0.008778198972164487,0.044453646971280195,0.012767810249034582,0.012767810249034582,1.8983050847457628,MALE,1799
der_jaeger,5,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.7999999999999998,MALE,1799
stallmeister,105,14.0,6.0,28.0,8.0,23.0,0.03768127625886246,0.04742230296697379,0.02224873861255643,0.02224873861255643,1.7523809523809524,MALE,1799
selinus,30,10.0,3.0,10.0,7.0,7.0,0.006725506294471817,0.002343181026566607,0.008606940939636541,0.008606940939636541,1.6333333333333333,MALE,1799
bramarbas,4,3.0,1.0,1.0,2.0,3.0,0.008359456635318705,0.008359456635318705,0.005115678248962249,0.005115678248962249,1.5,MALE,1799
lysippus,110,14.0,8.0,30.0,6.0,27.0,0.028667612719336863,0.017025579349247064,0.039555639044413504,0.039555639044413504,1.4727272727272727,MALE,1799
cleora,6,3.0,1.0,3.0,2.0,4.0,0.004105349471728782,0.022128613723441312,0.006663852374681273,0.006663852374681273,1.3333333333333333,FEMALE,1799
helikanus,81,11.0,6.0,21.0,5.0,21.0,0.01971583652618135,0.029897327507045376,0.032113941062577034,0.032113941062577034,1.2962962962962963,MALE,1799
bauer_2-3_und_2-6,14,6.0,3.0,7.0,3.0,6.0,0.0025112578991889336,0.003302321807415851,0.007586861432422782,0.007586861432422782,1.2857142857142856,MALE,1799
bauer_1-2,8,4.0,2.0,3.0,2.0,5.0,0.0005224660397074191,0.0005224660397074191,0.011128404073112346,0.011128404073112346,1.25,MALE,1799
dorus,56,8.0,4.0,16.0,4.0,17.0,0.027802449785208398,0.02723354231974922,0.03379864412966592,0.03379864412966592,1.2142857142857142,MALE,1799
cleon,31,8.0,4.0,8.0,4.0,9.0,0.04403460922857476,0.04981634527089073,0.01337444944055599,0.01337444944055599,1.1612903225806452,MALE,1799
cervantes,8,3.0,1.0,2.0,2.0,4.0,0.007183908045977012,0.007183908045977012,0.005875139246718012,0.005875139246718012,1.0,MALE,1799
feldblumen,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.0,UNKNOWN,1799
hans_sachs,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.0,MALE,1799
koenigin,24,7.0,3.0,6.0,4.0,6.0,0.00116590784694233,0.01677323786453881,0.006290558066673302,0.006290558066673302,1.0,FEMALE,1799
sophokles,4,3.0,1.0,1.0,2.0,2.0,0.0,0.006922675026123303,0.004320175494839292,0.004320175494839292,1.0,MALE,1799
die_tulpen,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.0,UNKNOWN,1799
ein_kapitaen,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.0,MALE,1799
verfasser,20,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,1.0,MALE,1799
hinzenfeld,58,11.0,6.0,10.0,5.0,11.0,0.005391092783334163,0.050278917138243166,0.014514074166280746,0.014514074166280746,0.9482758620689655,MALE,1799
lila,49,6.0,3.0,10.0,3.0,15.0,0.0008577150818530132,0.0,0.01806194854351102,0.01806194854351102,0.9183673469387755,FEMALE,1799
alter_koenig,73,12.0,7.0,16.0,5.0,13.0,0.01662704313566383,0.01675809822361547,0.018353854322379876,0.018353854322379876,0.8904109589041096,MALE,1799
leander,65,13.0,6.0,13.0,7.0,8.0,0.016729849811746373,0.04718264146163834,0.017469265173478406,0.017469265173478406,0.8615384615384616,MALE,1799
satan,33,4.0,2.0,5.0,2.0,14.0,0.0,0.0,0.006651963235969584,0.006651963235969584,0.8484848484848485,MALE,1799
sohn_marionette,11,5.0,2.0,3.0,3.0,3.0,0.015020898641588298,0.022074190177638457,0.008391860835726447,0.008391860835726447,0.8181818181818181,MALE,1799
zweiter_buerger,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.8,MALE,1799
waldbruder,61,10.0,6.0,18.0,4.0,12.0,0.03989764226833194,0.030176145693387085,0.024371227240888423,0.024371227240888423,0.7868852459016393,MALE,1799
arzt,49,8.0,5.0,9.0,3.0,12.0,0.0026247100600548883,0.0008098223615464994,0.0126415204527999,0.0126415204527999,0.7346938775510203,MALE,1799
koenigin_marionette,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.6666666666666666,FEMALE,1799
vater_marionette,6,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.008944232568911633,0.008944232568911633,0.6666666666666666,MALE,1799
frau_marionette,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.6666666666666666,FEMALE,1799
bote,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.6666666666666666,MALE,1799
dante,9,2.0,1.0,2.0,1.0,6.0,0.0,0.0,0.005875139246718012,0.005875139246718012,0.6666666666666666,MALE,1799
erster_buerger,11,4.0,2.0,5.0,2.0,3.0,0.0005224660397074191,0.0005224660397074191,0.01268348813462961,0.01268348813462961,0.5454545454545454,MALE,1799
wirtin,12,3.0,1.0,3.0,2.0,3.0,0.007183908045977012,0.007183908045977012,0.006961085334067041,0.006961085334067041,0.5,FEMALE,1799
theon,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.5,MALE,1799
goettin,22,4.0,3.0,9.0,1.0,11.0,0.008098223615464995,0.008098223615464995,0.0178365624029216,0.0178365624029216,0.5,FEMALE,1799
zweiter_bedienter,2,2.0,1.0,1.0,1.0,1.0,0.00013061650992685477,0.00013061650992685477,0.005115678248962249,0.005115678248962249,0.5,MALE,1799
die_geige,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.5,UNKNOWN,1799
petrarca,2,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.005875139246718012,0.005875139246718012,0.5,MALE,1799
michel,2,2.0,1.0,1.0,1.0,1.0,0.0054467084639498444,0.0067267502612330205,0.0036778589330758492,0.0036778589330758492,0.5,MALE,1799
wirt,18,2.0,1.0,3.0,1.0,8.0,0.0,0.0,0.005231789997011317,0.005231789997011317,0.4444444444444444,MALE,1799
simonides,57,7.0,4.0,17.0,3.0,8.0,0.0003582624272279445,0.04305990943921979,0.021680405511702045,0.021680405511702045,0.42105263157894735,MALE,1799
ariost,12,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.005875139246718012,0.005875139246718012,0.4166666666666667,MALE,1799
erster_bedienter,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0027652117429605716,0.0027652117429605716,0.3333333333333333,MALE,1799
peter,6,2.0,1.0,1.0,1.0,2.0,0.0002938871473354232,0.00013061650992685477,0.003548700578294464,0.003548700578294464,0.3333333333333333,MALE,1799
der_stuhl,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.25,UNKNOWN,1799
poet,16,4.0,2.0,9.0,2.0,2.0,0.0,0.0,0.016134528623829462,0.016134528623829462,0.25,MALE,1799
nathanael,8,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.003965302828639959,0.003965302828639959,0.25,MALE,1799
erster_gesell,13,2.0,1.0,7.0,1.0,3.0,0.0,0.0,0.009153742073767516,0.009153742073767516,0.23076923076923078,MALE,1799
schmied_meister,28,4.0,3.0,12.0,1.0,6.0,0.017278387321490767,0.016065830721003135,0.024110174418491743,0.024110174418491743,0.21428571428571427,MALE,1799
shakespeare,10,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.005562460803698217,0.005562460803698217,0.2,MALE,1799
tuersteher,5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.2,MALE,1799
schaefer,15,2.0,1.0,4.0,1.0,3.0,0.0,0.0,0.00898506675047545,0.00898506675047545,0.2,MALE,1799
mueller,34,2.0,1.0,10.0,1.0,5.0,0.0,0.0,0.0167514570466488,0.0167514570466488,0.14705882352941177,MALE,1799
leser,7,3.0,2.0,2.0,1.0,1.0,0.0,0.0012694680798129075,0.00463392957452973,0.00463392957452973,0.14285714285714285,MALE,1799
sappi,17,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.006086514664546528,0.006086514664546528,0.11764705882352941,MALE,1799
die_leute,14,3.0,2.0,6.0,1.0,1.0,0.0,0.01397596656217346,0.007790105245273987,0.007790105245273987,0.07142857142857142,,1799
vierter_gesell,16,2.0,1.0,9.0,1.0,1.0,0.0,0.0,0.010979036453998071,0.010979036453998071,0.0625,MALE,1799
soldat_1-2,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004657164214377412,0.004657164214377412,0.0,MALE,1799
dritter_bedienter,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007113611472109683,0.007113611472109683,0.0,MALE,1799
der_sturm,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0041638362733293945,0.0041638362733293945,0.0,UNKNOWN,1799
erster_herr,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004737650950367795,0.004737650950367795,0.0,MALE,1799
bergstrom,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0041638362733293945,0.0041638362733293945,0.0,UNKNOWN,1799
dritter_buerger,6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.007534424534536879,0.007534424534536879,0.0,MALE,1799
waldhorn,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005115678248962249,0.005115678248962249,0.0,UNKNOWN,1799
der_general,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0036469266720008595,0.0036469266720008595,0.0,MALE,1799
kritiker,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0041638362733293945,0.0041638362733293945,0.0,MALE,1799
buerger,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.0,MALE,1799
erster_genius,5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.007430102998596732,0.007430102998596732,0.0,MALE,1799
raete,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0032060692074807155,0.0032060692074807155,0.0,,1799
tasso,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.0,MALE,1799
gozzi,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.0,MALE,1799
koenig_marionette,4,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0074661447549639265,0.0074661447549639265,0.0,MALE,1799
mann_marionette,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.005115678248962249,0.005115678248962249,0.0,MALE,1799
vogelgesang,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005115678248962249,0.005115678248962249,0.0,UNKNOWN,1799
soldat_4-8,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.005664144895726646,0.005664144895726646,0.0,MALE,1799
rosen,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004013733007268461,0.004013733007268461,0.0,UNKNOWN,1799
der_wald,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004320175494839292,0.004320175494839292,0.0,UNKNOWN,1799
dritter_gesell,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0036778589330758492,0.0036778589330758492,0.0,MALE,1799
caspar,10,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.008793466616837423,0.008793466616837423,0.0,MALE,1799
