,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
peter,139,16.0,4.0,12.0,47.0,0.25116541353383465,0.37201754385964914,0.049360742451047865,0.049360742451047865,4.057553956834532,MALE,1797
anton,44,12.0,7.0,5.0,16.0,0.28634711779448624,0.398859649122807,0.06488600402743638,0.06488600402743638,1.8181818181818183,MALE,1797
reinhold,16,4.0,1.0,3.0,8.0,0.0068922305764411015,0.08947368421052632,0.011052025032170756,0.011052025032170756,1.5,MALE,1797
hans,60,8.0,3.0,5.0,17.0,0.15909774436090224,0.15526315789473683,0.041947473309910534,0.041947473309910534,1.4166666666666665,MALE,1797
agnes,178,11.0,6.0,5.0,46.0,0.10215538847117792,0.014473684210526316,0.10278362205240285,0.10278362205240285,1.2921348314606742,FEMALE,1797
klaus,62,10.0,5.0,5.0,16.0,0.0877005012531328,0.15785087719298246,0.0831003857264546,0.0831003857264546,1.2903225806451613,MALE,1797
ratgeber,43,9.0,4.0,5.0,10.0,0.09701754385964918,0.11789473684210525,0.0594420169778681,0.0594420169778681,1.1627906976744187,MALE,1797
heymon,31,8.0,4.0,4.0,8.0,0.03508771929824563,0.07833333333333331,0.05253109263083991,0.05253109263083991,1.032258064516129,MALE,1797
kaspar,45,8.0,3.0,5.0,9.0,0.04473684210526316,0.04802631578947368,0.03796052165323618,0.03796052165323618,1.0,MALE,1797
simon,73,11.0,6.0,5.0,11.0,0.1013345864661654,0.0818421052631579,0.1259899657573155,0.1259899657573155,0.7534246575342465,MALE,1797
brigitte,27,5.0,3.0,2.0,10.0,0.1368421052631579,0.1394736842105263,0.027042782623656607,0.027042782623656607,0.7407407407407407,FEMALE,1797
anne,95,9.0,5.0,4.0,16.0,0.06023182957393484,0.14276315789473684,0.08238935923499664,0.08238935923499664,0.6736842105263158,FEMALE,1797
konrad,36,9.0,5.0,4.0,6.0,0.03574561403508774,0.1103508771929825,0.05281098747964142,0.05281098747964142,0.6666666666666666,MALE,1797
martin,16,5.0,3.0,2.0,5.0,0.0006578947368421052,0.0,0.03265085714468556,0.03265085714468556,0.625,MALE,1797
arzt,34,4.0,2.0,2.0,7.0,0.0010338345864661653,0.0,0.05146830235670102,0.05146830235670102,0.4117647058823529,MALE,1797
leopold,34,8.0,5.0,3.0,4.0,0.20607769423558897,0.2519736842105263,0.04850673137445729,0.04850673137445729,0.3529411764705882,MALE,1797
mechthilde,29,5.0,3.0,2.0,4.0,0.0010338345864661653,0.021052631578947368,0.03131745026089828,0.03131745026089828,0.27586206896551724,FEMALE,1797
knecht_1-3a,5,1.0,1.0,0.0,0.0,0.0,0.0,0.012525298976909863,0.012525298976909863,0.0,MALE,1797
knechte,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009847248907492015,0.009847248907492015,0.0,,1797
ein_knecht_1-3c,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009847248907492015,0.009847248907492015,0.0,MALE,1797
knecht_2-1,2,1.0,1.0,0.0,0.0,0.0,0.0,0.012539883114386585,0.012539883114386585,0.0,MALE,1797
ein_ritter,1,,,,,,,,,,MALE,1797
ein_knecht_1-3b,1,,,,,,,,,,MALE,1797
chor_3-1,3,,,,,,,,,,,1797
chor_3-2,2,,,,,,,,,,,1797
