,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mangold,17,3.0,1.0,2.0,8.0,0.0,0.0,0.18261250891279573,0.18261250891279573,0.9411764705882353,MALE,1818
warmann,18,5.0,3.0,2.0,6.0,0.10714285714285714,0.10714285714285714,0.20486974238683725,0.20486974238683725,0.6666666666666666,MALE,1818
werner,19,6.0,3.0,3.0,4.0,0.14285714285714285,0.17857142857142855,0.11875657208105883,0.11875657208105883,0.631578947368421,MALE,1818
kunrad,21,5.0,2.0,3.0,4.0,0.1607142857142857,0.14285714285714285,0.12106727625671618,0.12106727625671618,0.5714285714285714,MALE,1818
gisela,14,3.0,1.0,2.0,4.0,0.03571428571428571,0.03571428571428571,0.08894753280973283,0.08894753280973283,0.5714285714285714,FEMALE,1818
ernst,26,4.0,1.0,3.0,4.0,0.07142857142857142,0.07142857142857142,0.06322078950662303,0.06322078950662303,0.46153846153846156,MALE,1818
hermann,2,1.0,1.0,0.0,0.0,0.0,0.0,0.05639547973563891,0.05639547973563891,0.0,MALE,1818
adalbert,9,2.0,2.0,0.0,0.0,0.0,0.0,0.10140020504869793,0.10140020504869793,0.0,MALE,1818
warin,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0627298932618991,0.0627298932618991,0.0,MALE,1818
heinrich,4,,,,,,,,,,MALE,1818
die_fürsten,1,,,,,,,,,,,1818
die_bischoefe,1,,,,,,,,,,,1818
wache,1,,,,,,,,,,MALE,1818
kriegsleute,1,,,,,,,,,,,1818
