,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faust,149,19.0,6.0,28.0,13.0,32.0,0.22601010101010097,0.178255772005772,0.10588264112273629,0.10588264112273629,2.791946308724832,MALE,1862
valentin,130,19.0,10.0,20.0,9.0,34.0,0.2747790404040404,0.20637175324675325,0.10836056701920598,0.10836056701920598,2.353846153846154,MALE,1862
mephistopheles,67,14.0,6.0,13.0,8.0,14.0,0.1690340909090909,0.16808712121212122,0.09712979073426899,0.09712979073426899,1.671641791044776,MALE,1862
denkerke,58,11.0,4.0,6.0,7.0,11.0,0.09169823232323233,0.10227272727272728,0.031933888996887747,0.031933888996887747,1.3275862068965516,MALE,1862
broesamle,17,5.0,1.0,3.0,4.0,5.0,0.004734848484848485,0.004734848484848485,0.015007007262184041,0.015007007262184041,1.1764705882352942,MALE,1862
lieschen,45,7.0,3.0,9.0,4.0,8.0,0.011363636363636364,0.13749098124098125,0.036358352820520586,0.036358352820520586,0.7111111111111111,FEMALE,1862
baerbelchen,38,8.0,5.0,10.0,3.0,9.0,0.06171085858585858,0.2159541847041847,0.055091039127345864,0.055091039127345864,0.7105263157894737,FEMALE,1862
der_bauer,6,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.007604090865411272,0.007604090865411272,0.6666666666666666,MALE,1862
mutter_a,19,5.0,3.0,6.0,2.0,5.0,0.01452020202020202,0.0,0.04084637297189114,0.04084637297189114,0.5263157894736842,FEMALE,1862
mr_wedge,8,3.0,1.0,1.0,2.0,2.0,0.0014204545454545455,0.002840909090909091,0.010071729664335529,0.010071729664335529,0.5,MALE,1862
unbekannter,25,5.0,2.0,14.0,3.0,4.0,0.03630050505050505,0.13090728715728717,0.05510733543013581,0.05510733543013581,0.48,MALE,1862
pater_ecstaticus,17,2.0,1.0,1.0,1.0,7.0,0.0,0.0,0.015555606761643984,0.015555606761643984,0.4117647058823529,MALE,1862
dr_marianus,38,7.0,4.0,12.0,3.0,5.0,0.03125,0.1553030303030303,0.046772638230589095,0.046772638230589095,0.39473684210526316,MALE,1862
alter_herr,36,3.0,2.0,10.0,1.0,13.0,0.0,0.0,0.05269781658428958,0.05269781658428958,0.3611111111111111,MALE,1862
karrer,12,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.007604090865411272,0.007604090865411272,0.3333333333333333,MALE,1862
deuterke,20,4.0,2.0,3.0,2.0,3.0,0.007102272727272728,0.005681818181818182,0.01577112745624094,0.01577112745624094,0.3,MALE,1862
selige_knaben,10,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.016313951085338833,0.016313951085338833,0.3,,1862
fritzchen,4,2.0,1.0,2.0,1.0,1.0,0.0,0.007102272727272728,0.01322922224692372,0.01322922224692372,0.25,MALE,1862
scharrer,13,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.010071729664335529,0.010071729664335529,0.15384615384615385,MALE,1862
stimme_des_herrn,7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.01939867992375394,0.01939867992375394,0.14285714285714285,MALE,1862
pater_seraphicus,7,3.0,2.0,2.0,1.0,1.0,0.000946969696969697,0.03690927128427128,0.013125723821025774,0.013125723821025774,0.14285714285714285,MALE,1862
helena,10,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010416656556167497,0.010416656556167497,0.1,FEMALE,1862
viele_mehrere_andere_stimmen_4-3,11,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.06760766151950391,0.06760766151950391,0.09090909090909091,,1862
gruebelwitz,16,4.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0203508586963428,0.0203508586963428,0.0625,MALE,1862
karlchen,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013501385394582607,0.013501385394582607,0.0,MALE,1862
gustelchen,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013501385394582607,0.013501385394582607,0.0,MALE,1862
lyell,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010416656556167497,0.010416656556167497,0.0,MALE,1862
priesnitz,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010416656556167497,0.010416656556167497,0.0,MALE,1862
schemen,10,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.01885435362843617,0.01885435362843617,0.0,UNKNOWN,1862
unsichtbare_gute_geister,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013501385394582607,0.013501385394582607,0.0,,1862
stimme_2-8,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010313158130269548,0.010313158130269548,0.0,UNKNOWN,1862
der_mann_mit_stierkopf,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010416656556167497,0.010416656556167497,0.0,MALE,1862
die_gestalt,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010416656556167497,0.010416656556167497,0.0,MALE,1862
steinzaenger,7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.016353126406386122,0.016353126406386122,0.0,MALE,1862
