,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fricka,25,8,2,6,12,0.16025641025641024,0.13888888888888887,0.040905299813501134,0.040905299813501134,2.88,FEMALE,1853
alberich,65,14,7,7,25,0.3162393162393162,0.22115384615384615,0.17581438607802616,0.17581438607802616,2.6923076923076925,MALE,1853
loge,60,13,6,7,23,0.2644230769230769,0.43536324786324776,0.1775299705010359,0.1775299705010359,2.6833333333333336,MALE,1853
wotan,72,12,6,6,24,0.29754273504273504,0.18002136752136752,0.14156759008031122,0.14156759008031122,2.0,MALE,1853
fasolt,20,8,4,4,5,0.04006410256410256,0.11538461538461538,0.08942524227408191,0.08942524227408191,1.0,MALE,1853
woglinde,31,8,4,4,7,0.02457264957264957,0.11965811965811964,0.07845450765551967,0.07845450765551967,0.9032258064516129,FEMALE,1853
wellgunde,20,4,2,2,7,0.0,0.01282051282051282,0.037772297536684984,0.037772297536684984,0.7,FEMALE,1853
mime,14,4,2,2,2,0.0,0.15384615384615385,0.07004014009615475,0.07004014009615475,0.2857142857142857,MALE,1853
donner,15,4,2,2,2,0.0016025641025641025,0.012820512820512818,0.030841926160999768,0.030841926160999768,0.26666666666666666,MALE,1853
fafner,23,6,4,2,3,0.010683760683760682,0.13194444444444442,0.07439077583808014,0.07439077583808014,0.2608695652173913,MALE,1853
flosshilde,16,3,2,1,2,0.0,0.0454059829059829,0.03422349248511578,0.03422349248511578,0.125,FEMALE,1853
freia,9,2,1,1,1,0.0,0.004273504273504273,0.015639322741994793,0.015639322741994793,0.1111111111111111,FEMALE,1853
froh,12,1,1,0,0,0.0,0.0,0.015639322741994793,0.015639322741994793,0.0,MALE,1853
erda,3,1,1,0,0,0.0,0.0,0.01775572599649871,0.01775572599649871,0.0,FEMALE,1853
