,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
langen,197,15,7,8,59,0.15619047619047619,0.05476190476190477,0.18955260808120558,0.18955260808120558,2.3959390862944163,MALE,1775
walz,113,16,8,8,32,0.308968253968254,0.37777777777777777,0.12201808180003712,0.12201808180003712,2.265486725663717,MALE,1775
werner,141,16,7,9,27,0.28388888888888897,0.3801587301587302,0.16367724904482617,0.16367724904482617,1.7234042553191489,MALE,1775
justitzraethin,98,13,6,7,24,0.31769841269841276,0.4023809523809524,0.0995235341870793,0.0995235341870793,1.7142857142857142,FEMALE,1775
lenchen,51,8,4,4,16,0.07420634920634922,0.11587301587301589,0.06496263821561057,0.06496263821561057,1.2549019607843137,FEMALE,1775
karl,9,4,1,3,3,0.0,0.0,0.023154702209488058,0.023154702209488058,1.0,MALE,1775
fridericke,72,8,4,4,16,0.014603174603174606,0.05476190476190477,0.08259507262394897,0.08259507262394897,0.8888888888888888,FEMALE,1775
christian,39,6,3,3,9,0.0,0.3261904761904762,0.05983076901048438,0.05983076901048438,0.6923076923076923,MALE,1775
bettelweib,5,2,1,1,2,0.0,0.0,0.02049564590840064,0.02049564590840064,0.4,FEMALE,1775
feldscheer,3,2,1,1,1,0.0,0.0,0.01371487205232897,0.01371487205232897,0.3333333333333333,MALE,1775
wilhelm,20,4,2,2,3,0.0,0.027777777777777783,0.03930279518939017,0.03930279518939017,0.3,MALE,1775
caroline,15,3,1,2,2,0.0,0.014285714285714287,0.01371487205232897,0.01371487205232897,0.26666666666666666,FEMALE,1775
franzoesin,17,4,3,1,3,0.0,0.0,0.03337405090109059,0.03337405090109059,0.17647058823529413,FEMALE,1775
doktor,15,2,1,1,2,0.0,0.0,0.016672398616537763,0.016672398616537763,0.13333333333333333,MALE,1775
jud,19,6,5,1,1,0.0015873015873015873,0.06825396825396826,0.042067839641248474,0.042067839641248474,0.05263157894736842,MALE,1775
ein_officier,2,1,1,0,0,0.0,0.0,0.015342870465994054,0.015342870465994054,0.0,MALE,1775
