,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
siegmund,51,8,4,4,17,0.13141025641025642,0.09615384615384615,0.07539465411882493,0.07539465411882493,1.3333333333333333,MALE,1853
gerhilde,25,5,1,4,7,0.08974358974358974,0.1794871794871795,0.04726588920037083,0.04726588920037083,1.12,FEMALE,1853
bruennhilde,64,10,6,4,16,0.4615384615384615,0.42948717948717946,0.2159533634069563,0.2159533634069563,1.0,FEMALE,1853
waltraute,11,4,1,3,3,0.03205128205128205,0.1282051282051282,0.022661434562361287,0.022661434562361287,0.8181818181818181,FEMALE,1853
siegrune,5,4,2,2,2,0.09935897435897435,0.12499999999999997,0.04628760750562204,0.04628760750562204,0.8,FEMALE,1853
wotan,51,6,3,3,13,0.21153846153846154,0.21153846153846154,0.23203588757403218,0.23203588757403218,0.7647058823529411,MALE,1853
sieglinde,37,4,2,2,11,0.035256410256410256,0.14102564102564102,0.044564868828972606,0.044564868828972606,0.5945945945945946,FEMALE,1853
hunding,9,3,1,2,2,0.0,0.12179487179487179,0.020691856642502886,0.020691856642502886,0.4444444444444444,MALE,1853
ortlinde,11,4,2,2,2,0.09935897435897435,0.11217948717948716,0.03481524522416532,0.03481524522416532,0.36363636363636365,FEMALE,1853
fricka,18,2,1,1,5,0.0,0.0,0.077609669278934,0.077609669278934,0.2777777777777778,FEMALE,1853
schwertleite,6,3,2,1,1,0.0641025641025641,0.0641025641025641,0.04233382293558272,0.04233382293558272,0.16666666666666666,FEMALE,1853
helmwige,10,3,2,1,1,0.0641025641025641,0.0641025641025641,0.03813942574193418,0.03813942574193418,0.1,FEMALE,1853
grimgerde,5,1,1,0,0,0.0,0.0,0.05290578334999057,0.05290578334999057,0.0,FEMALE,1853
rossweisse,7,1,1,0,0,0.0,0.0,0.04934049162975021,0.04934049162975021,0.0,FEMALE,1853
