,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mannen,33,11,5,13,6,23,0.11818181818181818,0.24848484848484842,0.056773741729185756,0.056773741729185756,4.181818181818182,MALE,1853
frauen,3,4,1,2,3,3,0.0,0.0,0.016696281540896318,0.016696281540896318,3.0,FEMALE,1853
bruennhilde,42,11,6,14,5,22,0.23636363636363636,0.42727272727272725,0.12144344467345743,0.12144344467345743,2.619047619047619,FEMALE,1853
gutrune,27,3,0,0,3,19,0.0,0.0,0.0125,0.0125,2.111111111111111,FEMALE,1853
hagen,92,11,6,49,5,27,0.22727272727272727,0.17272727272727273,0.22387717580714667,0.22387717580714667,1.4673913043478262,MALE,1853
gunther,59,8,5,14,3,20,0.01818181818181818,0.1939393939393939,0.11763500644834837,0.11763500644834837,1.0169491525423728,MALE,1853
siegfried,86,10,6,37,4,18,0.41818181818181815,0.43636363636363634,0.1979172620523418,0.1979172620523418,0.8372093023255814,MALE,1853
alberich,7,2,1,2,1,5,0.0,0.0,0.026595873957943158,0.026595873957943158,0.7142857142857143,MALE,1853
wellgunde,11,4,2,3,2,3,0.17272727272727273,0.17272727272727273,0.05619104216188174,0.05619104216188174,0.5454545454545454,FEMALE,1853
woglinde,24,6,3,6,3,4,0.3090909090909091,0.3090909090909091,0.09191249635465301,0.09191249635465301,0.5,FEMALE,1853
waltraute,11,2,1,8,1,3,0.0,0.0,0.05003655359093685,0.05003655359093685,0.2727272727272727,FEMALE,1853
flosshilde,9,2,1,1,1,2,0.0,0.0,0.028421121683208567,0.028421121683208567,0.2222222222222222,FEMALE,1853
