,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig_heinrich,41,16.0,7.0,8.0,9.0,21.0,0.26742919389978215,0.2973856209150327,0.08401840009889121,0.08401840009889121,4.609756097560975,MALE,1850
der_erste_edle,4,3.0,1.0,1.0,2.0,3.0,0.0392156862745098,0.11111111111111112,0.015792740317485995,0.015792740317485995,1.5,MALE,1850
friedrich,43,10.0,5.0,17.0,5.0,11.0,0.11220043572984749,0.16013071895424838,0.14870453528689903,0.14870453528689903,1.2790697674418605,MALE,1850
ortrud,47,7.0,3.0,18.0,4.0,14.0,0.06372549019607843,0.09803921568627451,0.1919957370729148,0.1919957370729148,1.1914893617021276,FEMALE,1850
der_zweite_edle,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012391975217696225,0.012391975217696225,1.0,MALE,1850
des_koenigs_gefolge,1,2.0,1.0,1.0,1.0,1.0,0.0,0.022875816993464054,0.015792740317485995,0.015792740317485995,1.0,,1850
die_edelknaben,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012391975217696225,0.012391975217696225,1.0,,1850
brabantische_edle,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012391975217696225,0.012391975217696225,1.0,,1850
elsa,62,9.0,6.0,20.0,3.0,20.0,0.07788671023965141,0.09803921568627451,0.18956687668442068,0.18956687668442068,0.967741935483871,FEMALE,1850
lohengrin,52,8.0,5.0,16.0,3.0,12.0,0.07352941176470588,0.05228758169934641,0.12868687002746998,0.12868687002746998,0.6923076923076923,MALE,1850
der_heerrufer,10,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.012391975217696225,0.012391975217696225,0.4,MALE,1850
mannen_die_maenner_alle_maenner_2,14,4.0,2.0,3.0,2.0,2.0,0.0,0.10457516339869281,0.04376180946312626,0.04376180946312626,0.2857142857142857,,1850
alle_maenner_die_maenner_1,17,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.012391975217696225,0.012391975217696225,0.23529411764705882,,1850
alle_maenner_die_maenner_ein_teil_der_maenner_3-3,9,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.019193505417275762,0.019193505417275762,0.1111111111111111,,1850
der_vierte_edle,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022925178410174538,0.022925178410174538,0.0,MALE,1850
die_brabanter,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.029149665775871532,0.029149665775871532,0.0,,1850
vier_edelknaben,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0168665844045308,0.0168665844045308,0.0,,1850
die_sachsen,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015792740317485995,0.015792740317485995,0.0,,1850
die_frauen_3-3,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015792740317485995,0.015792740317485995,0.0,,1850
