,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
von_keith,356,23.0,12.0,11.0,69.0,0.4583333333333333,0.45416666666666666,0.3238579987571185,0.3238579987571185,2.1320224719101124,MALE,1900
anna,185,15.0,8.0,7.0,47.0,0.2916666666666667,0.29236111111111107,0.15900464549041268,0.15900464549041268,1.7783783783783784,FEMALE,1900
saranieff,35,7.0,2.0,5.0,10.0,0.009027777777777777,0.06458333333333333,0.04522870679551881,0.04522870679551881,1.4285714285714284,MALE,1900
simba,32,7.0,3.0,4.0,8.0,0.03819444444444444,0.19166666666666665,0.04012505477329606,0.04012505477329606,1.0,FEMALE,1900
raspe,26,5.0,2.0,3.0,6.0,0.06180555555555556,0.06805555555555555,0.025208919436551833,0.025208919436551833,0.6923076923076923,MALE,1900
ein_metzgerknecht,3,1.0,0.0,1.0,2.0,0.0,0.0,0.010223965635092633,0.010223965635092633,0.6666666666666666,MALE,1900
freifrau_von_totleben,2,1.0,0.0,1.0,1.0,0.0,0.0,0.010223965635092633,0.010223965635092633,0.5,FEMALE,1900
molly,67,7.0,4.0,3.0,8.0,0.022916666666666665,0.09652777777777778,0.06611391170781888,0.06611391170781888,0.3582089552238806,FEMALE,1900
scholz,140,6.0,3.0,3.0,16.0,0.030555555555555555,0.011458333333333333,0.12883443153019103,0.12883443153019103,0.34285714285714286,MALE,1900
hermann,48,5.0,2.0,3.0,3.0,0.0,0.020138888888888887,0.0336952145449496,0.0336952145449496,0.1875,MALE,1900
sascha,18,4.0,3.0,1.0,3.0,0.0,0.08402777777777778,0.03306181337289982,0.03306181337289982,0.16666666666666666,MALE,1900
freifrau_von_rosenkron,6,2.0,1.0,1.0,1.0,0.0,0.06770833333333333,0.014213581936958142,0.014213581936958142,0.16666666666666666,FEMALE,1900
casimir,26,3.0,1.0,2.0,2.0,0.0,0.0,0.021726365639353068,0.021726365639353068,0.15384615384615385,MALE,1900
ostermeier,26,2.0,1.0,1.0,2.0,0.0,0.0,0.022192814540689162,0.022192814540689162,0.07692307692307693,MALE,1900
sommersberg,13,4.0,3.0,1.0,1.0,0.0,0.05416666666666667,0.038279801981627774,0.038279801981627774,0.07692307692307693,MALE,1900
frau_ostermeier,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013795226285471453,0.013795226285471453,0.0,FEMALE,1900
zamrjaki,5,1.0,1.0,0.0,0.0,0.0,0.0,0.014213581936958142,0.014213581936958142,0.0,MALE,1900
krenzl,5,,,,,,,,,,MALE,1900
grandauer,3,,,,,,,,,,MALE,1900
frau_krenzl,1,,,,,,,,,,FEMALE,1900
ernst_scholz,1,,,,,,,,,,MALE,1900
ein_packtraeger,1,,,,,,,,,,MALE,1900
ein_baeckerweib,1,,,,,,,,,,FEMALE,1900
