,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lulu,210,21.0,9.0,12.0,60.0,0.3156862745098039,0.2610294117647059,0.17598529541918473,0.17598529541918473,3.4285714285714284,FEMALE,1902
casti-piani,32,6.0,1.0,5.0,9.0,0.01474673202614379,0.007352941176470588,0.02572370516260368,0.02572370516260368,1.40625,MALE,1902
alwa,146,11.0,6.0,5.0,28.0,0.060457516339869274,0.04595588235294117,0.12125102910893346,0.12125102910893346,0.958904109589041,MALE,1902
die_geschwitz,53,6.0,2.0,4.0,12.0,0.028267973856209154,0.1213235294117647,0.025668045626141774,0.025668045626141774,0.9056603773584906,FEMALE,1902
rodrigo,80,9.0,5.0,4.0,14.0,0.03145424836601307,0.12683823529411764,0.0702516105717459,0.0702516105717459,0.7,MALE,1902
ludmilla_steinherz,9,6.0,4.0,2.0,3.0,0.05330882352941176,0.0625,0.0918602785779513,0.0918602785779513,0.6666666666666666,FEMALE,1902
kadidja,15,3.0,0.0,3.0,3.0,0.0,0.0,0.010764854338226893,0.010764854338226893,0.6000000000000001,FEMALE,1902
schigolch,104,7.0,4.0,3.0,19.0,0.012295751633986926,0.04044117647058824,0.054484724573600374,0.054484724573600374,0.548076923076923,MALE,1902
magelone,22,6.0,3.0,3.0,4.0,0.007352941176470588,0.007352941176470588,0.05059154367705222,0.05059154367705222,0.5454545454545454,FEMALE,1902
hugenberg,23,4.0,2.0,2.0,5.0,0.0,0.0,0.056103912297728556,0.056103912297728556,0.43478260869565216,MALE,1902
heilmann,14,5.0,3.0,2.0,3.0,0.03541666666666666,0.051470588235294115,0.11663776282062076,0.11663776282062076,0.42857142857142855,MALE,1902
jack,21,2.0,1.0,1.0,7.0,0.0,0.0,0.018244279750415288,0.018244279750415288,0.3333333333333333,MALE,1902
puntschu,20,8.0,6.0,2.0,3.0,0.07336601307189543,0.08088235294117647,0.08618229437624352,0.08618229437624352,0.3,MALE,1902
bianetta,4,1.0,0.0,1.0,1.0,0.0,0.0,0.010764854338226893,0.010764854338226893,0.25,FEMALE,1902
dr_hilti,11,2.0,1.0,1.0,2.0,0.0,0.0,0.020737421554478084,0.020737421554478084,0.18181818181818182,MALE,1902
kungu_poti,9,2.0,1.0,1.0,1.0,0.0,0.0,0.013257996142289692,0.013257996142289692,0.1111111111111111,MALE,1902
bob,7,2.0,2.0,0.0,0.0,0.0,0.0,0.038232395522266885,0.038232395522266885,0.0,MALE,1902
herr_hunidei,12,1.0,1.0,0.0,0.0,0.0,0.0,0.013257996142289692,0.013257996142289692,0.0,MALE,1902
ein_polizeikommissaer,1,,,,,,,,,,MALE,1902
