,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
schoen,318,13,6,64,7,61,0.22095959595959597,0.39015151515151514,0.1980995618681982,0.1980995618681982,1.3427672955974843,MALE,1895
lulu,457,16,9,110,7,77,0.3686868686868687,0.33964646464646464,0.30566327699112406,0.30566327699112406,1.1794310722100656,FEMALE,1895
schigolch,71,6,3,18,3,24,0.07449494949494949,0.0,0.07470402277460739,0.07470402277460739,1.0140845070422535,MALE,1895
henriette,5,2,0,0,2,2,0.0,0.0,0.012731906541305337,0.012731906541305337,0.8,FEMALE,1895
rodrigo,35,6,3,6,3,9,0.06439393939393939,0.27020202020202017,0.03051802681392856,0.03051802681392856,0.7714285714285714,MALE,1895
alwa,156,9,5,29,4,28,0.09722222222222221,0.10353535353535354,0.1124713463770777,0.1124713463770777,0.717948717948718,MALE,1895
geschwitz,11,4,2,4,2,3,0.0,0.21717171717171715,0.024387325873703812,0.024387325873703812,0.5454545454545454,FEMALE,1895
schwarz,219,4,2,34,2,58,0.0,0.0,0.11824729126214777,0.11824729126214777,0.5296803652968036,MALE,1895
goll,57,6,3,12,3,10,0.0,0.07954545454545454,0.048392257536479605,0.048392257536479605,0.5263157894736842,MALE,1895
hugenberg,16,4,2,3,2,4,0.0,0.10606060606060606,0.020905762673565323,0.020905762673565323,0.5,MALE,1895
escerny,33,4,2,3,2,8,0.0,0.07575757575757576,0.02289457093883618,0.02289457093883618,0.48484848484848486,MALE,1895
ferdinand,5,1,0,0,1,1,0.0,0.0,0.012731906541305337,0.012731906541305337,0.2,MALE,1895
escherich,11,1,1,2,0,0,0.0,0.0,0.018252743807720986,0.018252743807720986,0.0,MALE,1895
