,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
franziska,543,21.0,12.0,9.0,149.0,0.3175,0.30833333333333335,0.28412023928128444,0.28412023928128444,2.4696132596685083,FEMALE,1912
herzog,160,8.0,3.0,5.0,68.0,0.06833333333333334,0.05666666666666667,0.040222650438422256,0.040222650438422256,2.125,MALE,1912
veit_kunz,299,17.0,9.0,8.0,56.0,0.2725,0.3466666666666667,0.1853231382278262,0.1853231382278262,1.4983277591973243,MALE,1912
gislind,64,4.0,2.0,2.0,34.0,0.005,0.0,0.0179944274773817,0.0179944274773817,1.0625,FEMALE,1912
sophie,118,7.0,3.0,4.0,28.0,0.08833333333333333,0.08833333333333333,0.054562835275879074,0.054562835275879074,0.9491525423728814,FEMALE,1912
das_kind,7,2.0,0.0,2.0,3.0,0.0,0.0,0.008328923369096578,0.008328923369096578,0.8571428571428571,UNKNOWN,1912
hohenkemnath,13,3.0,1.0,2.0,5.0,0.03166666666666667,0.03166666666666667,0.01958100120250751,0.01958100120250751,0.7692307692307693,MALE,1912
fahrstuhl,16,5.0,2.0,3.0,3.0,0.03166666666666667,0.18083333333333335,0.017787200363522087,0.017787200363522087,0.5625,MALE,1912
mutter,72,4.0,2.0,2.0,20.0,0.0,0.0,0.035991533887314534,0.035991533887314534,0.5555555555555556,FEMALE,1912
breitenbach,71,6.0,3.0,3.0,12.0,0.028333333333333335,0.20333333333333334,0.033581624743130034,0.033581624743130034,0.5070422535211268,MALE,1912
laurus_bein,8,2.0,0.0,2.0,2.0,0.0,0.0,0.008328923369096578,0.008328923369096578,0.5,MALE,1912
die_maedchen,2,1.0,0.0,1.0,1.0,0.0,0.0,0.008328923369096578,0.008328923369096578,0.5,,1912
dr_hofmiller,60,4.0,2.0,2.0,14.0,0.0,0.060000000000000005,0.02759601082578332,0.02759601082578332,0.4666666666666667,MALE,1912
pater,18,5.0,3.0,2.0,3.0,0.060000000000000005,0.060000000000000005,0.043492293830743156,0.043492293830743156,0.3333333333333333,MALE,1912
veitralf,12,1.0,0.0,1.0,4.0,0.0,0.0,0.008328923369096578,0.008328923369096578,0.3333333333333333,MALE,1912
almer,25,2.0,1.0,1.0,8.0,0.0,0.0,0.03101975657072268,0.03101975657072268,0.32,MALE,1912
spreizfuesschen,4,1.0,0.0,1.0,1.0,0.0,0.0,0.008328923369096578,0.008328923369096578,0.25,FEMALE,1912
polizeipraesident,12,3.0,2.0,1.0,2.0,0.0,0.0,0.015966144862844287,0.015966144862844287,0.16666666666666666,MALE,1912
dirckens,16,2.0,1.0,1.0,2.0,0.0,0.023333333333333334,0.014954535601505396,0.014954535601505396,0.125,MALE,1912
herzogin,13,2.0,1.0,1.0,1.0,0.0,0.0,0.03297324408066227,0.03297324408066227,0.07692307692307693,FEMALE,1912
lydia,32,2.0,1.0,1.0,2.0,0.0,0.0,0.024892953950118618,0.024892953950118618,0.0625,FEMALE,1912
gespensterschreck,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009949697169212728,0.009949697169212728,0.0,FEMALE,1912
der_hundekopf,4,1.0,1.0,0.0,0.0,0.0,0.0,0.010688775595939115,0.010688775595939115,0.0,MALE,1912
mausi,5,1.0,1.0,0.0,0.0,0.0,0.0,0.011141942827449312,0.011141942827449312,0.0,FEMALE,1912
der_diener,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011657611291250165,0.011657611291250165,0.0,MALE,1912
dr_hornstein,28,2.0,2.0,0.0,0.0,0.0,0.0,0.034857765651017995,0.034857765651017995,0.0,MALE,1912
rohrdommel,4,,,,,,,,,,FEMALE,1912
kiesgraeber,2,,,,,,,,,,MALE,1912
dr_malkolm,1,,,,,,,,,,MALE,1912
kullmann,2,,,,,,,,,,MALE,1912
chorus,1,,,,,,,,,,,1912
hagelmeier,2,,,,,,,,,,MALE,1912
karaminka,1,,,,,,,,,,FEMALE,1912
der_schweinekopf,4,,,,,,,,,,MALE,1912
regisseur,3,,,,,,,,,,MALE,1912
