,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fuerst,226,13,5,34,8,43,0.40277777777777773,0.4722222222222222,0.18552200828187826,0.18552200828187826,1.5221238938053097,MALE,1899
schwigerling,307,12,6,47,6,52,0.38888888888888884,0.3194444444444444,0.30715475832293104,0.30715475832293104,1.01628664495114,MALE,1899
katharina,130,6,2,15,4,33,0.0,0.0,0.08832701611580857,0.08832701611580857,1.0153846153846153,FEMALE,1899
coelestin,110,9,5,30,4,18,0.16666666666666666,0.4930555555555555,0.18009614538772942,0.18009614538772942,0.6545454545454545,MALE,1899
alioscha,5,2,1,1,1,1,0.0,0.0,0.022095672346070523,0.022095672346070523,0.2,MALE,1899
tatjana,20,3,2,4,1,3,0.0,0.2569444444444444,0.04412559143320639,0.04412559143320639,0.15,FEMALE,1899
kolja,7,2,1,3,1,1,0.0,0.0,0.028076582109460027,0.028076582109460027,0.14285714285714285,MALE,1899
fuerstin,70,6,4,15,2,3,0.0,0.20833333333333331,0.08844906178399589,0.08844906178399589,0.08571428571428572,FEMALE,1899
enjuscha,13,2,1,4,1,1,0.0,0.06944444444444445,0.031743841864099544,0.031743841864099544,0.07692307692307693,MALE,1899
mitja,3,1,1,2,0,0,0.0,0.0,0.02440932235482051,0.02440932235482051,0.0,MALE,1899
