,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
melchior,149,15.0,9.0,37.0,6.0,48.0,0.21296296296296297,0.1970899470899471,0.191866470484422,0.191866470484422,1.9328859060402683,MALE,1891
georg,13,5.0,1.0,1.0,4.0,5.0,0.04431216931216931,0.1111111111111111,0.010964442754001855,0.010964442754001855,1.5384615384615385,MALE,1891
sonnenstich,28,5.0,0.0,0.0,5.0,8.0,0.0,0.0,0.007566921921879946,0.007566921921879946,1.4285714285714284,MALE,1891
ina,3,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.007566921921879946,0.007566921921879946,1.3333333333333333,FEMALE,1891
der_schlossermeister,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007566921921879946,0.007566921921879946,1.0,MALE,1891
reinhold,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007566921921879946,0.007566921921879946,1.0,MALE,1891
wendla,109,11.0,7.0,26.0,4.0,27.0,0.14616402116402116,0.13227513227513227,0.14478513345459948,0.14478513345459948,0.9908256880733946,FEMALE,1891
ruprecht,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.007566921921879946,0.007566921921879946,0.8,MALE,1891
moritz,105,9.0,6.0,34.0,3.0,25.0,0.031746031746031744,0.04894179894179894,0.17989557094657432,0.17989557094657432,0.7142857142857142,MALE,1891
martha,36,5.0,2.0,5.0,3.0,8.0,0.007275132275132275,0.01984126984126984,0.025646431684232435,0.025646431684232435,0.6666666666666666,FEMALE,1891
ernst,20,5.0,2.0,3.0,3.0,4.0,0.023148148148148147,0.026455026455026454,0.018273131061905076,0.018273131061905076,0.6000000000000001,MALE,1891
frau_gabor,20,4.0,1.0,2.0,3.0,4.0,0.01984126984126984,0.01984126984126984,0.017084738259936713,0.017084738259936713,0.6000000000000001,FEMALE,1891
haenschen_rilow,22,5.0,2.0,3.0,3.0,4.0,0.012566137566137565,0.082010582010582,0.01719710713771546,0.01719710713771546,0.5454545454545454,MALE,1891
otto,17,6.0,3.0,3.0,3.0,3.0,0.009259259259259259,0.031084656084656083,0.021298124844143108,0.021298124844143108,0.5294117647058824,MALE,1891
thea,22,4.0,2.0,3.0,2.0,5.0,0.0,0.0,0.017574899641730445,0.017574899641730445,0.45454545454545453,FEMALE,1891
der_vermummte_herr,22,4.0,2.0,9.0,2.0,4.0,0.0,0.04365079365079365,0.040863735260998055,0.040863735260998055,0.36363636363636365,MALE,1891
dr_brausepulver,3,2.0,1.0,1.0,1.0,1.0,0.0,0.017195767195767195,0.018780203715148158,0.018780203715148158,0.3333333333333333,MALE,1891
robert,13,4.0,2.0,3.0,2.0,2.0,0.0033068783068783067,0.0033068783068783067,0.015177989437954332,0.015177989437954332,0.3076923076923077,MALE,1891
frau_bergmann,48,4.0,2.0,16.0,2.0,6.0,0.022486772486772486,0.022486772486772486,0.07915566842105178,0.07915566842105178,0.25,FEMALE,1891
herr_gabor,10,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.011197428996858785,0.011197428996858785,0.2,MALE,1891
ilse,31,4.0,3.0,12.0,1.0,5.0,0.0026455026455026454,0.02513227513227513,0.07070930118153418,0.07070930118153418,0.16129032258064516,FEMALE,1891
knueppeldick,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008370907524407039,0.008370907524407039,0.0,MALE,1891
habebald,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008370907524407039,0.008370907524407039,0.0,MALE,1891
fliegentod,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008370907524407039,0.008370907524407039,0.0,MALE,1891
diethelm,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013998806742096678,0.013998806742096678,0.0,MALE,1891
hungergurt,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008370907524407039,0.008370907524407039,0.0,MALE,1891
helmuth,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010782864331988313,0.010782864331988313,0.0,MALE,1891
dr_prokrustes,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013998806742096678,0.013998806742096678,0.0,MALE,1891
laemmermeier,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009430905193984367,0.009430905193984367,0.0,MALE,1891
