,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
launhart,100,10,5,5,33,0.1391941391941392,0.1728021978021978,0.0823123900083603,0.0823123900083603,1.6500000000000001,MALE,1904
morosini,24,5,0,5,6,0.0,0.0,0.011812961443806402,0.011812961443806402,1.25,MALE,1904
von_bruehl,45,7,3,4,13,0.04853479853479854,0.05393772893772894,0.08042883887577951,0.08042883887577951,1.1555555555555554,MALE,1904
fanny,123,10,5,5,28,0.05860805860805861,0.0,0.19061680566553915,0.19061680566553915,1.1382113821138211,FEMALE,1904
dr_mittenbach,8,2,0,2,3,0.0,0.0,0.011812961443806402,0.011812961443806402,0.75,MALE,1904
gellinghausen,82,8,4,4,15,0.1263736263736264,0.21153846153846156,0.06917470638126785,0.06917470638126785,0.7317073170731707,MALE,1904
hetmann,132,11,5,6,16,0.14652014652014653,0.20860805860805864,0.1372807956620059,0.1372807956620059,0.7272727272727273,MALE,1904
mrs_grant,17,5,3,2,4,0.09890109890109891,0.19780219780219782,0.06274225891903537,0.06274225891903537,0.47058823529411764,FEMALE,1904
berta,44,7,5,2,10,0.01098901098901099,0.03901098901098901,0.0492714637811371,0.0492714637811371,0.45454545454545453,FEMALE,1904
waldbauer,5,1,0,1,2,0.0,0.0,0.011812961443806402,0.011812961443806402,0.4,MALE,1904
der_polizeileutnant,7,4,3,1,1,0.0027472527472527475,0.0056776556776556774,0.031297302802931,0.031297302802931,0.14285714285714285,MALE,1904
cotrelly,11,3,2,1,1,0.0,0.0,0.1759583639047174,0.1759583639047174,0.09090909090909091,MALE,1904
die_fuerstin,13,3,2,1,1,0.0,0.005494505494505495,0.05348475242416487,0.05348475242416487,0.07692307692307693,FEMALE,1904
fritz,6,1,1,0,0,0.0,0.0,0.013486464315012308,0.013486464315012308,0.0,MALE,1904
der_kriminalschutzmann,3,1,1,0,0,0.0,0.0,0.018506972928630027,0.018506972928630027,0.0,MALE,1904
