,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig_nicolo,161,24.0,13.0,11.0,32.0,0.5078947368421053,0.49736842105263157,0.31447441346415655,0.31447441346415655,2.1863354037267078,MALE,1902
der_zweite_theaterbesitzer,4,3.0,1.0,2.0,2.0,0.0,0.05789473684210526,0.016894271217365274,0.016894271217365274,1.0,MALE,1902
der_landstreicher,2,2.0,1.0,1.0,2.0,0.0,0.0,0.016894271217365274,0.016894271217365274,1.0,MALE,1902
der_gefaengniswaerter,10,1.0,0.0,1.0,8.0,0.0,0.0,0.00854095023990048,0.00854095023990048,0.8,MALE,1902
der_erste_theaterbesitzer,20,5.0,2.0,3.0,5.0,0.043421052631578944,0.08421052631578947,0.032427710151556814,0.032427710151556814,0.75,MALE,1902
meister_pandolfo,8,4.0,2.0,2.0,3.0,0.02894736842105263,0.014473684210526316,0.027370286538841763,0.027370286538841763,0.75,MALE,1902
zweiter_bedienter,2,2.0,1.0,1.0,1.0,0.0,0.0,0.056913938648642026,0.056913938648642026,0.5,MALE,1902
michele,9,4.0,2.0,2.0,2.0,0.07631578947368421,0.07631578947368421,0.024649249093928495,0.024649249093928495,0.4444444444444444,MALE,1902
koenig_pietro,49,6.0,3.0,3.0,7.0,0.075,0.07894736842105263,0.09837919014362816,0.09837919014362816,0.42857142857142855,MALE,1902
die_kupplerin,3,1.0,0.0,1.0,1.0,0.0,0.0,0.00854095023990048,0.00854095023990048,0.3333333333333333,FEMALE,1902
erster_bedienter,3,2.0,1.0,1.0,1.0,0.0,0.0,0.056913938648642026,0.056913938648642026,0.3333333333333333,MALE,1902
battista,4,2.0,1.0,1.0,1.0,0.039473684210526314,0.05394736842105263,0.019016965561376973,0.019016965561376973,0.25,MALE,1902
der_oberrichter,16,2.0,1.0,1.0,4.0,0.039473684210526314,0.039473684210526314,0.015800768692290322,0.015800768692290322,0.25,MALE,1902
der_gutsbesitzer,5,2.0,1.0,1.0,1.0,0.0,0.0,0.016894271217365274,0.016894271217365274,0.2,MALE,1902
alma,80,4.0,2.0,2.0,8.0,0.002631578947368421,0.010526315789473684,0.1560601681519166,0.1560601681519166,0.2,FEMALE,1902
noe,5,2.0,1.0,1.0,1.0,0.034210526315789476,0.04868421052631579,0.024705466408526486,0.024705466408526486,0.2,MALE,1902
der_kunstreiter,6,2.0,1.0,1.0,1.0,0.0,0.0,0.025247592194830068,0.025247592194830068,0.16666666666666666,MALE,1902
der_gerichtsaktuar,9,1.0,0.0,1.0,1.0,0.0,0.0,0.00854095023990048,0.00854095023990048,0.1111111111111111,MALE,1902
filipo,19,3.0,2.0,1.0,2.0,0.0,0.0,0.03719378917489031,0.03719378917489031,0.10526315789473684,MALE,1902
andrea_valori,4,1.0,1.0,0.0,0.0,0.0,0.0,0.02048714721996072,0.02048714721996072,0.0,MALE,1902
der_schauspieler,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014053711535015126,0.014053711535015126,0.0,MALE,1902
die_buerger_alle_anwesenden,9,,,,,,,,,,,1902
benedetto_nardi,1,,,,,,,,,,MALE,1902
der_soeldner,1,,,,,,,,,,MALE,1902
der_prokurator_des_koenigs,2,,,,,,,,,,MALE,1902
der_verteidiger,2,,,,,,,,,,MALE,1902
chorus,3,,,,,,,,,,,1902
die_zuschauer_die_zuhoerer,6,,,,,,,,,,,1902
ein_edelknabe,1,,,,,,,,,,MALE,1902
der_zuschauer,1,,,,,,,,,,MALE,1902
