,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wagner,33,12.0,5.0,6.0,7.0,11.0,0.3819444444444445,0.49393939393939396,0.09479084868074761,0.09479084868074761,2.333333333333333,MALE,1775
theodor,37,9.0,4.0,4.0,5.0,12.0,0.07323232323232325,0.25303030303030305,0.047132851572178246,0.047132851572178246,1.6216216216216217,MALE,1775
faust,117,14.0,7.0,28.0,7.0,25.0,0.331439393939394,0.24242424242424243,0.20691755480200877,0.20691755480200877,1.4957264957264957,MALE,1775
mephistopheles,90,10.0,5.0,17.0,5.0,24.0,0.036616161616161616,0.0712121212121212,0.13806323585181743,0.13806323585181743,1.3333333333333333,MALE,1775
donnerschlag,8,3.0,1.0,1.0,2.0,4.0,0.0,0.0202020202020202,0.022715934729743086,0.022715934729743086,1.0,MALE,1775
ithuriel,49,8.0,4.0,19.0,4.0,9.0,0.011994949494949494,0.0,0.11747165721178635,0.11747165721178635,0.7346938775510204,MALE,1775
helena,52,7.0,4.0,11.0,3.0,11.0,0.001893939393939394,0.0,0.07729112160889173,0.07729112160889173,0.6346153846153846,FEMALE,1775
waisenplag,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.015391076567063722,0.015391076567063722,0.5,MALE,1775
spuraus,13,5.0,3.0,6.0,2.0,2.0,0.07954545454545454,0.08333333333333334,0.11359181130095726,0.11359181130095726,0.3076923076923077,MALE,1775
elisabeth,25,4.0,2.0,3.0,2.0,2.0,0.0,0.08863636363636364,0.029393087933200265,0.029393087933200265,0.16,FEMALE,1775
emilie,7,3.0,2.0,3.0,1.0,1.0,0.0,0.0202020202020202,0.0783181096569348,0.0783181096569348,0.14285714285714285,FEMALE,1775
friedreich,7,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.03649649427997131,0.03649649427997131,0.0,MALE,1775
sorgenvoll,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022426215804699584,0.022426215804699584,0.0,MALE,1775
