,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
michel,144,16.0,8.0,8.0,42.0,0.3076923076923077,0.46153846153846156,0.12473185888263846,0.12473185888263846,2.3333333333333335,MALE,1770
roeschen,183,14.0,7.0,7.0,53.0,0.1533882783882784,0.2417582417582418,0.15033940456154193,0.15033940456154193,2.0273224043715845,FEMALE,1770
toeffel,105,10.0,4.0,6.0,34.0,0.2330586080586081,0.23626373626373628,0.1031981689161928,0.1031981689161928,1.942857142857143,MALE,1770
graf_von_schmetterling,7,4.0,1.0,3.0,3.0,0.05494505494505495,0.12362637362637363,0.019599447162420396,0.019599447162420396,1.2857142857142856,MALE,1770
christel,76,9.0,5.0,4.0,22.0,0.013278388278388278,0.01098901098901099,0.09956444588481597,0.09956444588481597,1.1578947368421053,MALE,1770
der_koenig,104,7.0,3.0,4.0,27.0,0.21291208791208793,0.22252747252747254,0.08264095641237273,0.08264095641237273,1.0384615384615385,MALE,1770
marthe,62,6.0,3.0,3.0,14.0,0.004120879120879121,0.1208791208791209,0.03641414172937009,0.03641414172937009,0.6774193548387096,FEMALE,1770
guerge,7,4.0,2.0,2.0,2.0,0.07142857142857144,0.07142857142857144,0.049104828152404356,0.049104828152404356,0.5714285714285714,MALE,1770
hannchen,59,6.0,3.0,3.0,11.0,0.009615384615384616,0.005494505494505495,0.07349097315499761,0.07349097315499761,0.5593220338983051,FEMALE,1770
der_erste_wilddieb,4,3.0,2.0,1.0,2.0,0.06043956043956045,0.06043956043956045,0.08799221284660105,0.08799221284660105,0.5,MALE,1770
quaas,5,3.0,2.0,1.0,2.0,0.0,0.0,0.03782397400327163,0.03782397400327163,0.4,MALE,1770
der_zweyte_wilddieb,3,2.0,1.0,1.0,1.0,0.0,0.0,0.08659006353498416,0.08659006353498416,0.3333333333333333,MALE,1770
chor_alle_3-9,4,2.0,1.0,1.0,1.0,0.0,0.0,0.016843125526743837,0.016843125526743837,0.25,,1770
alle_1-9_bis_1-11,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014318778370239494,0.014318778370239494,0.0,,1770
von_treuwerth,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0173476208614054,0.0173476208614054,0.0,MALE,1770
alle_bauren,1,,,,,,,,,,,1770
chor_3-14,5,,,,,,,,,,,1770
