,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
dessalines,91,11.0,4.0,6.0,7.0,27.0,0.155952380952381,0.1285714285714286,0.0424019465686532,0.0424019465686532,2.076923076923077,MALE,1821
diakue,107,20.0,9.0,34.0,11.0,19.0,0.43103174603174604,0.36051587301587307,0.1188949813795672,0.1188949813795672,1.953271028037383,MALE,1821
hortensia,79,14.0,7.0,15.0,7.0,20.0,0.07432539682539682,0.09960317460317462,0.07396167856923003,0.07396167856923003,1.7721518987341773,FEMALE,1821
judith,52,9.0,4.0,9.0,5.0,17.0,0.06007936507936508,0.10853174603174605,0.04940548924030435,0.04940548924030435,1.6346153846153846,FEMALE,1821
marie,43,10.0,5.0,13.0,5.0,13.0,0.03936507936507937,0.1636904761904762,0.053293915485802826,0.053293915485802826,1.5116279069767442,FEMALE,1821
anna,21,7.0,4.0,7.0,3.0,10.0,0.018452380952380953,0.048015873015873026,0.07481874828615298,0.07481874828615298,1.4285714285714284,FEMALE,1821
mutter,58,12.0,6.0,9.0,6.0,13.0,0.14611111111111114,0.17003968253968257,0.07293277988025626,0.07293277988025626,1.3448275862068966,FEMALE,1821
goffier,14,6.0,3.0,5.0,3.0,6.0,0.05476190476190477,0.19444444444444445,0.059112448206627075,0.059112448206627075,1.2857142857142856,MALE,1821
offizier_2-9,10,3.0,1.0,1.0,2.0,4.0,0.0,0.0025793650793650797,0.021425410827974795,0.021425410827974795,0.8,MALE,1821
klara,44,8.0,4.0,18.0,4.0,7.0,0.07011904761904762,0.04087301587301588,0.10352158481151082,0.10352158481151082,0.6363636363636364,FEMALE,1821
soudry,29,5.0,2.0,5.0,3.0,5.0,0.027539682539682534,0.0908730158730159,0.03361557087268238,0.03361557087268238,0.5172413793103449,MALE,1821
julia,47,7.0,4.0,9.0,3.0,8.0,0.01523809523809524,0.04325396825396825,0.030067666208290187,0.030067666208290187,0.5106382978723404,FEMALE,1821
baptist,12,4.0,2.0,4.0,2.0,2.0,0.0035714285714285718,0.0126984126984127,0.025361515016977438,0.025361515016977438,0.3333333333333333,MALE,1821
offizier_3-2_und_3-4,6,3.0,2.0,3.0,1.0,1.0,0.0010714285714285715,0.026984126984126985,0.021963144407000763,0.021963144407000763,0.16666666666666666,MALE,1821
das_volk_alle_5-8_und_5-9,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00885475471271692,0.00885475471271692,0.16666666666666666,,1821
walter,17,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.015529188493110798,0.015529188493110798,0.11764705882352941,MALE,1821
das_volk_einige_andre_alle_3-5_und_3-6,12,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0944364596470712,0.0944364596470712,0.08333333333333333,,1821
opku,18,3.0,2.0,8.0,1.0,1.0,0.0,0.0,0.04769168246272596,0.04769168246272596,0.05555555555555555,MALE,1821
soldat_1-3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010189641468795694,0.010189641468795694,0.0,MALE,1821
offizier_4-4,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014173797818183112,0.014173797818183112,0.0,MALE,1821
offiziere_4-4,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014173797818183112,0.014173797818183112,0.0,,1821
offiziere_5-8_und_5-9,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014173797818183112,0.014173797818183112,0.0,,1821
