,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,126,13.0,6.0,14.0,7.0,44.0,0.2052832244008715,0.369281045751634,0.08011060228947307,0.08011060228947307,2.444444444444444,MALE,1811
joeran,158,18.0,9.0,40.0,9.0,38.0,0.3793572984749456,0.29248366013071897,0.13129019245802406,0.13129019245802406,2.1645569620253164,MALE,1811
richers,109,13.0,6.0,30.0,7.0,30.0,0.23983297022512712,0.2821350762527233,0.11796054324074333,0.11796054324074333,1.926605504587156,MALE,1811
johann,70,8.0,3.0,16.0,5.0,26.0,0.13050108932461876,0.014161220043572984,0.05366791991891094,0.05366791991891094,1.8571428571428572,MALE,1811
catharina,93,8.0,3.0,26.0,5.0,28.0,0.03006535947712418,0.10403050108932463,0.08057091836801873,0.08057091836801873,1.5053763440860215,FEMALE,1811
botwid,45,7.0,3.0,8.0,4.0,15.0,0.0075344952795933185,0.013071895424836602,0.03903015573812886,0.03903015573812886,1.3333333333333333,MALE,1811
struen,22,7.0,3.0,10.0,4.0,6.0,0.0010893246187363833,0.05664488017429194,0.049383688855736324,0.049383688855736324,1.0909090909090908,MALE,1811
wolowsky,76,7.0,3.0,24.0,4.0,19.0,0.052214960058097316,0.17047930283224402,0.07247021689415388,0.07247021689415388,1.0,MALE,1811
theit,37,7.0,4.0,14.0,3.0,9.0,0.0075344952795933185,0.032679738562091505,0.056359723541185625,0.056359723541185625,0.7297297297297298,MALE,1811
koeniginn,73,8.0,5.0,19.0,3.0,12.0,0.04175744371822803,0.08877995642701525,0.048918111119966814,0.048918111119966814,0.4931506849315068,FEMALE,1811
siegmund,14,4.0,2.0,2.0,2.0,3.0,0.0016339869281045752,0.16122004357298475,0.014446471831841083,0.014446471831841083,0.42857142857142855,MALE,1811
sten,21,4.0,2.0,6.0,2.0,4.0,0.10130718954248366,0.10130718954248366,0.07463224578959517,0.07463224578959517,0.38095238095238093,MALE,1811
einige_mehrere_raethe,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009449842840745752,0.009449842840745752,0.3333333333333333,,1811
braske,53,5.0,3.0,14.0,2.0,4.0,0.05555555555555556,0.05555555555555556,0.04454688973128258,0.04454688973128258,0.1509433962264151,MALE,1811
alle_die_andern_1-5_und_1-6,10,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012386622065767803,0.012386622065767803,0.1,,1811
hauptmann,20,5.0,4.0,7.0,1.0,2.0,0.011038489469862018,0.15141612200435728,0.022984396774748797,0.022984396774748797,0.1,MALE,1811
hasko,12,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.057030419465822754,0.057030419465822754,0.08333333333333333,MALE,1811
gruskel,9,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0206684033855635,0.0206684033855635,0.0,MALE,1811
kammerherr,7,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.014092635690290602,0.014092635690290602,0.0,MALE,1811
