,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ferdinand,196,11.0,5.0,6.0,52.0,0.17301587301587298,0.45238095238095233,0.13126703616155272,0.13126703616155272,1.5918367346938775,MALE,1821
julie,91,8.0,3.0,5.0,24.0,0.04365079365079364,0.017857142857142856,0.10519030961291137,0.10519030961291137,1.3186813186813187,FEMALE,1821
raethin,53,9.0,4.0,5.0,13.0,0.059920634920634916,0.4623015873015873,0.0680341231297806,0.0680341231297806,1.2264150943396226,FEMALE,1821
rosalie,136,10.0,5.0,5.0,29.0,0.0757936507936508,0.1706349206349206,0.13024170939997826,0.13024170939997826,1.0661764705882353,FEMALE,1821
bilau,131,7.0,4.0,3.0,35.0,0.03452380952380952,0.0,0.14466752288174234,0.14466752288174234,0.8015267175572519,MALE,1821
grundmann,156,11.0,6.0,5.0,25.0,0.19087301587301583,0.21428571428571427,0.16363490742492293,0.16363490742492293,0.8012820512820513,MALE,1821
langers,190,7.0,4.0,3.0,42.0,0.01746031746031746,0.0,0.13661918562445954,0.13661918562445954,0.6631578947368421,MALE,1821
kaethe,81,5.0,3.0,2.0,23.0,0.0,0.0,0.12034520576465225,0.12034520576465225,0.5679012345679012,FEMALE,1821
bedienter,3,,,,,,,,,,MALE,1821
hans,3,,,,,,,,,,MALE,1821
