,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
die_markgraefin,38,11,5,6,13,0.24814814814814812,0.35000000000000003,0.09407964638187813,0.09407964638187813,2.0526315789473686,FEMALE,1760
belvedere,26,6,2,4,8,0.11944444444444445,0.20555555555555557,0.041370232888562335,0.041370232888562335,1.2307692307692308,MALE,1760
der_general,19,3,0,3,7,0.0,0.0,0.01529346277108008,0.01529346277108008,1.1052631578947367,MALE,1760
grandison,94,14,8,6,16,0.18796296296296294,0.02777777777777778,0.29353280854207864,0.29353280854207864,1.0212765957446808,MALE,1760
klementina,64,10,6,4,16,0.045370370370370366,0.05555555555555556,0.20541807891282876,0.20541807891282876,1.0,FEMALE,1760
kamilla,20,6,3,3,5,0.12222222222222223,0.11111111111111112,0.08102340590921589,0.08102340590921589,0.75,FEMALE,1760
der_markgraf,20,6,3,3,4,0.03333333333333333,0.13333333333333333,0.03889554221433717,0.03889554221433717,0.6000000000000001,MALE,1760
der_bischof,32,6,3,3,5,0.02777777777777778,0.0,0.0879395175161538,0.0879395175161538,0.46875,MALE,1760
jeronymo,35,9,5,4,4,0.03796296296296297,0.24814814814814815,0.08676040359534613,0.08676040359534613,0.45714285714285713,MALE,1760
pater_mareskotti,17,4,2,2,2,0.0,0.0,0.034242165973646675,0.034242165973646675,0.23529411764705882,MALE,1760
laura,3,1,1,0,0,0.0,0.0,0.02144473529487246,0.02144473529487246,0.0,FEMALE,1760
