,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
apelles,237,31.0,14.0,17.0,75.0,0.5558421516754849,0.5185185185185184,0.18481400736234882,0.18481400736234882,5.379746835443038,MALE,1889
phoebe,41,10.0,4.0,6.0,21.0,0.06620370370370368,0.07649911816578481,0.03571609609844852,0.03571609609844852,3.073170731707317,FEMALE,1889
longinus,97,13.0,6.0,7.0,33.0,0.10328483245149912,0.11728395061728393,0.05801029002697434,0.05801029002697434,2.381443298969072,MALE,1889
zoe,40,10.0,4.0,6.0,8.0,0.10659171075837741,0.25705467372134033,0.05932528264980577,0.05932528264980577,1.2000000000000002,FEMALE,1889
nymphas,63,8.0,3.0,5.0,15.0,0.03681657848324515,0.03130511463844797,0.050440604977639324,0.050440604977639324,1.1904761904761905,MALE,1889
bolana,33,5.0,2.0,3.0,11.0,0.04327601410934744,0.027777777777777776,0.028939692440029613,0.028939692440029613,1.0,FEMALE,1889
timolaos,42,9.0,4.0,5.0,8.0,0.04193121693121693,0.08090828924162256,0.03187058238177091,0.03187058238177091,0.9523809523809523,MALE,1889
pausanias,70,10.0,6.0,4.0,11.0,0.11351410934744267,0.15079365079365079,0.10388399585343819,0.10388399585343819,0.6285714285714286,MALE,1889
persida,33,4.0,2.0,2.0,9.0,0.012566137566137565,0.0,0.030615284054172475,0.030615284054172475,0.5454545454545454,FEMALE,1889
aurelius,29,5.0,2.0,3.0,5.0,0.004916225749559082,0.007936507936507936,0.01926997604992238,0.01926997604992238,0.5172413793103449,MALE,1889
zabbaeos,21,5.0,2.0,3.0,3.0,0.03659611992945326,0.0701058201058201,0.015317068434103392,0.015317068434103392,0.42857142857142855,MALE,1889
der_greis,19,3.0,2.0,1.0,8.0,0.0,0.0,0.015903623265878592,0.015903623265878592,0.42105263157894735,MALE,1889
die_frau,15,5.0,3.0,2.0,3.0,0.037698412698412696,0.035714285714285705,0.08390717996926882,0.08390717996926882,0.4,FEMALE,1889
septimius,25,5.0,2.0,3.0,3.0,0.004916225749559082,0.03042328042328042,0.015228922714623155,0.015228922714623155,0.36,MALE,1889
herennianos,28,5.0,2.0,3.0,3.0,0.036375661375661374,0.03571428571428571,0.051986083891557136,0.051986083891557136,0.3214285714285714,MALE,1889
maeonios,15,2.0,1.0,1.0,4.0,0.007208994708994709,0.0,0.01184554938157385,0.01184554938157385,0.26666666666666666,MALE,1889
jarchai,8,3.0,2.0,1.0,2.0,0.012566137566137565,0.025793650793650792,0.02852077877517645,0.02852077877517645,0.25,MALE,1889
zenobia,8,2.0,1.0,1.0,2.0,0.0,0.0,0.013789270217807195,0.013789270217807195,0.25,FEMALE,1889
der_blinde,8,3.0,2.0,1.0,2.0,0.0,0.005731922398589065,0.03930574534440422,0.03930574534440422,0.25,MALE,1889
agrippa,8,3.0,2.0,1.0,1.0,0.007208994708994709,0.04541446208112874,0.01470395376871797,0.01470395376871797,0.125,MALE,1889
jamlichus,10,3.0,2.0,1.0,1.0,0.0,0.06128747795414462,0.011094492586381666,0.011094492586381666,0.1,MALE,1889
erster_buerger,11,3.0,2.0,1.0,1.0,0.0,0.06084656084656084,0.015903623265878592,0.015903623265878592,0.09090909090909091,MALE,1889
sklave,2,1.0,1.0,0.0,0.0,0.0,0.0,0.010397066234609037,0.010397066234609037,0.0,MALE,1889
volk_1-9,6,1.0,1.0,0.0,0.0,0.0,0.0,0.013809117986882568,0.013809117986882568,0.0,,1889
tryphena,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009600259659815147,0.009600259659815147,0.0,FEMALE,1889
saturninus,7,1.0,1.0,0.0,0.0,0.0,0.0,0.010891954933938276,0.010891954933938276,0.0,MALE,1889
sklavin,4,1.0,1.0,0.0,0.0,0.0,0.0,0.014214745428636821,0.014214745428636821,0.0,FEMALE,1889
stimme,4,1.0,1.0,0.0,0.0,0.0,0.0,0.008999987307385639,0.008999987307385639,0.0,UNKNOWN,1889
zweiter_buerger,5,1.0,1.0,0.0,0.0,0.0,0.0,0.011694764938811171,0.011694764938811171,0.0,MALE,1889
stimmen,2,,,,,,,,,,,1889
volk_alle_1-7,3,,,,,,,,,,,1889
volk_3-6,1,,,,,,,,,,,1889
ein_buerger,1,,,,,,,,,,MALE,1889
seleukos,6,,,,,,,,,,MALE,1889
alle_5-2,4,,,,,,,,,,,1889
