,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gracchus,127,26.0,13.0,13.0,54.0,0.3216861598440546,0.22798663324979115,0.15507416548964412,0.15507416548964412,5.52755905511811,MALE,1872
scipio,34,11.0,5.0,6.0,13.0,0.07066276803118908,0.09495962127541074,0.04108298737721491,0.04108298737721491,2.2941176470588234,MALE,1872
drusus,35,8.0,3.0,5.0,11.0,0.03508771929824561,0.025341130604288498,0.039072313776279025,0.039072313776279025,1.5714285714285714,MALE,1872
cornelia,39,10.0,4.0,6.0,10.0,0.013645224171539959,0.06978557504873294,0.05574324292846115,0.05574324292846115,1.5384615384615383,FEMALE,1872
pomponius,55,9.0,5.0,4.0,18.0,0.007553606237816763,0.030597326649958224,0.07554902381417215,0.07554902381417215,1.309090909090909,MALE,1872
metellus,48,10.0,4.0,6.0,10.0,0.10380116959064327,0.2037037037037037,0.02683511630291205,0.02683511630291205,1.25,MALE,1872
opimius,59,9.0,3.0,6.0,12.0,0.026559454191033137,0.024366471734892783,0.03938905016380903,0.03938905016380903,1.2203389830508475,MALE,1872
kleon,21,8.0,3.0,5.0,5.0,0.051413255360623786,0.06998050682261207,0.05672698759556601,0.05672698759556601,1.1904761904761905,MALE,1872
euporus,38,11.0,6.0,5.0,9.0,0.05769980506822611,0.05034113060428849,0.08313906592092916,0.08313906592092916,1.1842105263157894,MALE,1872
carbo,42,7.0,3.0,4.0,12.0,0.00804093567251462,0.012378167641325535,0.06605548681032276,0.06605548681032276,1.1428571428571428,MALE,1872
agricola,55,9.0,5.0,4.0,11.0,0.014717348927875242,0.01759259259259259,0.08693787664159926,0.08693787664159926,0.8,MALE,1872
licinnia,43,6.0,3.0,3.0,10.0,0.0009746588693957114,0.04571150097465886,0.04818682333869169,0.04818682333869169,0.6976744186046512,FEMALE,1872
laetorius,66,13.0,9.0,4.0,8.0,0.037475633528265107,0.12641325536062378,0.09659437927878659,0.09659437927878659,0.48484848484848486,MALE,1872
aulus,9,4.0,2.0,2.0,2.0,0.0009746588693957114,0.050682261208576995,0.015803904958078777,0.015803904958078777,0.4444444444444444,MALE,1872
rufus,3,1.0,0.0,1.0,1.0,0.0,0.0,0.010732774497274666,0.010732774497274666,0.3333333333333333,MALE,1872
volk,43,6.0,3.0,3.0,3.0,0.012865497076023389,0.0740323029796714,0.02701130901163231,0.02701130901163231,0.20930232558139533,,1872
senat_senatoren,4,1.0,1.0,0.0,0.0,0.0,0.0,0.013419026091132227,0.013419026091132227,0.0,,1872
sklavin,1,1.0,1.0,0.0,0.0,0.0,0.0,0.02037632942258401,0.02037632942258401,0.0,FEMALE,1872
der_sclave,4,2.0,2.0,0.0,0.0,0.0,0.0,0.02441759945377124,0.02441759945377124,0.0,MALE,1872
buerger,8,2.0,2.0,0.0,0.0,0.0,0.0,0.01785253712713901,0.01785253712713901,0.0,,1872
lictor_1,1,,,,,,,,,,MALE,1872
lictor_3,2,,,,,,,,,,MALE,1872
lictor_5,6,,,,,,,,,,MALE,1872
