,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
karl,160,19.0,9.0,10.0,69.0,0.04425132275132275,0.07344444444444444,0.08882592854280737,0.08882592854280737,4.3125,MALE,1881
lothar,146,18.0,7.0,11.0,54.0,0.13034391534391537,0.13877777777777778,0.05356059552132465,0.05356059552132465,4.068493150684931,MALE,1881
bernhard,244,29.0,16.0,13.0,72.0,0.2602037037037037,0.21444444444444444,0.17098394240134937,0.17098394240134937,3.8360655737704916,MALE,1881
kaiser_ludwig,57,12.0,4.0,8.0,22.0,0.034583333333333334,0.0901111111111111,0.019091587916026057,0.019091587916026057,3.087719298245614,MALE,1881
ludwig_der_deutsche,112,13.0,5.0,8.0,38.0,0.03088888888888889,0.04602777777777778,0.05908721761548487,0.05908721761548487,2.7142857142857144,MALE,1881
humfried,3,3.0,1.0,2.0,3.0,0.0,0.005,0.011288720797768426,0.011288720797768426,2.0,MALE,1881
judith,138,11.0,6.0,5.0,51.0,0.0030291005291005293,0.014166666666666668,0.07081765997966528,0.07081765997966528,1.8478260869565215,FEMALE,1881
ottgar,26,7.0,3.0,4.0,12.0,0.030333333333333334,0.037500000000000006,0.027356904356096754,0.027356904356096754,1.8461538461538463,MALE,1881
hamatelliwa,51,7.0,3.0,4.0,22.0,0.0005555555555555556,0.0016666666666666668,0.03404893067359526,0.03404893067359526,1.7254901960784315,MALE,1881
rudthardt,64,9.0,5.0,4.0,25.0,0.02337962962962963,0.030694444444444448,0.036432859965677765,0.036432859965677765,1.5625,MALE,1881
wala,59,13.0,7.0,6.0,12.0,0.020167989417989418,0.15391666666666667,0.031820898459190956,0.031820898459190956,1.2203389830508475,MALE,1881
zweiter_diener,3,2.0,1.0,1.0,3.0,0.0,0.0,0.06871492197650957,0.06871492197650957,1.0,MALE,1881
abdallah,88,13.0,8.0,5.0,17.0,0.028195767195767198,0.020055555555555556,0.07381190629631136,0.07381190629631136,0.9659090909090908,MALE,1881
hugo,33,8.0,4.0,4.0,7.0,0.03395502645502646,0.05819444444444446,0.03266756070233883,0.03266756070233883,0.8484848484848485,MALE,1881
temin,15,4.0,1.0,3.0,4.0,0.0,0.009083333333333332,0.013468843384179011,0.013468843384179011,0.8,MALE,1881
dritter_diener,3,1.0,0.0,1.0,2.0,0.0,0.0,0.007413156902526755,0.007413156902526755,0.6666666666666666,MALE,1881
matfried,50,6.0,3.0,3.0,10.0,0.0034457671957671965,0.014027777777777781,0.028950184653823405,0.028950184653823405,0.6000000000000001,MALE,1881
satilatlas,34,7.0,5.0,2.0,8.0,0.0005555555555555556,0.009611111111111112,0.024253119827613894,0.024253119827613894,0.47058823529411764,MALE,1881
elisachar,13,5.0,3.0,2.0,2.0,0.0044444444444444444,0.018166666666666668,0.017575807098693053,0.017575807098693053,0.3076923076923077,MALE,1881
erster_ritter,4,1.0,0.0,1.0,1.0,0.0,0.0,0.007413156902526755,0.007413156902526755,0.25,MALE,1881
erster_diener,8,3.0,2.0,1.0,1.0,0.0016666666666666668,0.0016666666666666668,0.07213131095924684,0.07213131095924684,0.125,MALE,1881
alle_1-4,1,1.0,1.0,0.0,0.0,0.0,0.0,0.008256241057618057,0.008256241057618057,0.0,,1881
ebo,5,1.0,1.0,0.0,0.0,0.0,0.0,0.008150786920542549,0.008150786920542549,0.0,MALE,1881
frechulf,7,1.0,1.0,0.0,0.0,0.0,0.0,0.015346712813296554,0.015346712813296554,0.0,MALE,1881
alle_2-8,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009431719063077507,0.009431719063077507,0.0,,1881
alle_4-1-5_und_4-1-6,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00909932521270936,0.00909932521270936,0.0,,1881
agobard,3,,,,,,,,,,MALE,1881
chorknaben,2,,,,,,,,,,,1881
die_franken,2,,,,,,,,,,,1881
die_deutschen_alle_deutschen,5,,,,,,,,,,,1881
zweiter_ritter,2,,,,,,,,,,MALE,1881
dritter_ritter,2,,,,,,,,,,MALE,1881
alle_4-2-8,4,,,,,,,,,,,1881
