,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
spuller,61,6.0,2.0,12.0,4.0,27.0,0.2222222222222222,0.2222222222222222,0.09741678444708537,0.09741678444708537,1.7704918032786885,MALE,1914
mutter,127,11.0,6.0,29.0,5.0,34.0,0.35416666666666663,0.5277777777777778,0.20454366270535618,0.20454366270535618,1.3385826771653544,FEMALE,1914
gottfried,139,9.0,4.0,44.0,5.0,33.0,0.29166666666666663,0.375,0.18807499888187137,0.18807499888187137,1.1870503597122302,MALE,1914
marie,146,8.0,4.0,31.0,4.0,38.0,0.4097222222222222,0.4444444444444444,0.15878813837679237,0.15878813837679237,1.0410958904109588,FEMALE,1914
strantz,105,6.0,3.0,26.0,3.0,20.0,0.2222222222222222,0.2222222222222222,0.09979709593258765,0.09979709593258765,0.5714285714285714,MALE,1914
goldsohn,33,6.0,3.0,7.0,3.0,6.0,0.0,0.40277777777777773,0.05165266917601884,0.05165266917601884,0.5454545454545454,MALE,1914
doktor,20,5.0,3.0,8.0,2.0,5.0,0.0,0.25,0.05931721383979986,0.05931721383979986,0.5,MALE,1914
stanck,47,2.0,1.0,6.0,1.0,12.0,0.0,0.0,0.04044781210485777,0.04044781210485777,0.2553191489361702,MALE,1914
vogt,21,3.0,2.0,8.0,1.0,3.0,0.0,0.0,0.05429305769615554,0.05429305769615554,0.14285714285714285,MALE,1914
der_fremde,25,2.0,1.0,10.0,1.0,3.0,0.0,0.0,0.04566856683947511,0.04566856683947511,0.12,MALE,1914
