,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
rabanser,138,11.0,5.0,30.0,6.0,40.0,0.3974358974358974,0.4230769230769231,0.10328880638212498,0.10328880638212498,1.7391304347826089,MALE,1918
hubert,253,11.0,6.0,85.0,5.0,77.0,0.19017094017094016,0.11538461538461538,0.25954824868483,0.25954824868483,1.5217391304347827,MALE,1918
vater,186,9.0,4.0,39.0,5.0,44.0,0.0811965811965812,0.2564102564102564,0.07599786499845632,0.07599786499845632,1.1827956989247312,MALE,1918
mutter,91,6.0,3.0,27.0,3.0,35.0,0.00641025641025641,0.0,0.06891827577002298,0.06891827577002298,1.153846153846154,FEMALE,1918
remigius,131,7.0,3.0,20.0,4.0,35.0,0.03632478632478632,0.11858974358974358,0.04471146431229082,0.04471146431229082,1.0687022900763359,MALE,1918
magentrost,16,3.0,1.0,4.0,2.0,7.0,0.11538461538461538,0.11538461538461538,0.06357853126684618,0.06357853126684618,0.875,MALE,1918
taube,15,3.0,1.0,3.0,2.0,4.0,0.1346153846153846,0.1346153846153846,0.019863023536863294,0.019863023536863294,0.5333333333333333,FEMALE,1918
pater_confessor,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.013278455105331217,0.013278455105331217,0.5,MALE,1918
rosl,116,6.0,4.0,51.0,2.0,20.0,0.12179487179487179,0.12179487179487179,0.16125551488044437,0.16125551488044437,0.3448275862068966,FEMALE,1918
pogatschnigg,35,5.0,3.0,11.0,2.0,6.0,0.17307692307692307,0.17307692307692307,0.08876632434198825,0.08876632434198825,0.34285714285714286,FEMALE,1918
dienstmaedchen,18,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0384284931860887,0.0384284931860887,0.2777777777777778,FEMALE,1918
babusch,16,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.020131693126914752,0.020131693126914752,0.125,FEMALE,1918
chorus_puerorum,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01766816739301927,0.01766816739301927,0.0,,1918
chorus_adolescentium,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024565137014779005,0.024565137014779005,0.0,,1918
