,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
perth,14,9.0,3.0,6.0,7.0,0.1571655328798186,0.2299319727891157,0.037255263725525595,0.037255263725525595,3.0,MALE,1828
emmy,52,9.0,4.0,5.0,14.0,0.06346938775510205,0.11360544217687074,0.05897387432000718,0.05897387432000718,1.346153846153846,FEMALE,1828
george,33,9.0,5.0,4.0,11.0,0.030389266817838247,0.05714285714285715,0.06056867294000701,0.06056867294000701,1.3333333333333333,MALE,1828
chor_der_gaeste,21,4.0,1.0,3.0,8.0,0.0,0.04285714285714286,0.014511963875345583,0.014511963875345583,1.1428571428571428,,1828
aubry,112,12.0,6.0,6.0,20.0,0.08785336356764929,0.06190476190476191,0.09682559642718086,0.09682559642718086,1.0714285714285714,MALE,1828
allgemeiner_chor-alle,15,6.0,2.0,4.0,4.0,0.07988284202569917,0.07052154195011338,0.022081953920324107,0.022081953920324107,1.0666666666666667,,1828
ruthwen,107,13.0,7.0,6.0,13.0,0.1926266061980348,0.2547619047619048,0.09474742470826786,0.09474742470826786,0.7289719626168224,MALE,1828
scrop,7,4.0,2.0,2.0,2.0,0.01433862433862434,0.021882086167800453,0.05808966351566722,0.05808966351566722,0.5714285714285714,MALE,1828
davenaut,60,7.0,4.0,3.0,11.0,0.028813303099017383,0.05714285714285715,0.044701326050660385,0.044701326050660385,0.5499999999999999,MALE,1828
malwina,71,4.0,2.0,2.0,10.0,0.0,0.0,0.04001346080845779,0.04001346080845779,0.28169014084507044,FEMALE,1828
gadshill,4,2.0,1.0,1.0,1.0,0.0,0.0,0.05356574899487302,0.05356574899487302,0.25,MALE,1828
green,24,7.0,5.0,2.0,3.0,0.03831821617535904,0.03616780045351474,0.141435802483949,0.141435802483949,0.25,MALE,1828
blunt,38,8.0,5.0,3.0,3.0,0.08333333333333334,0.08571428571428572,0.1523631821613439,0.1523631821613439,0.23684210526315788,MALE,1828
frau_blunt,26,4.0,2.0,2.0,3.0,0.0,0.0,0.09523515288176751,0.09523515288176751,0.23076923076923078,FEMALE,1828
berkley,6,1.0,0.0,1.0,1.0,0.0,0.0,0.010396811644429044,0.010396811644429044,0.16666666666666666,MALE,1828
ein_diener,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01923410154219373,0.01923410154219373,0.0,MALE,1828
geisterchor,4,,,,,,,,,,,1828
vampyrmeister,1,,,,,,,,,,MALE,1828
janthe,13,,,,,,,,,,FEMALE,1828
chor,6,,,,,,,,,,,1828
chor_der_landleute,3,,,,,,,,,,,1828
chor_der_jaeger,10,,,,,,,,,,,1828
chor_der_trinker,2,,,,,,,,,,,1828
chor_der_taenzer,1,,,,,,,,,,,1828
die_maedchen,2,,,,,,,,,,,1828
haushofmeister,1,,,,,,,,,,MALE,1828
