,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faust,116,34.0,13.0,24.0,21.0,43.0,0.26031746031746034,0.2571428571428571,0.17059869321609242,0.17059869321609242,7.78448275862069,MALE,1839
doge,4,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.007977935635947474,0.007977935635947474,1.5,MALE,1839
satan_ein_rother_cavalier,12,4.0,1.0,1.0,3.0,5.0,0.0011904761904761906,0.002380952380952381,0.021091037563617698,0.021091037563617698,1.25,MALE,1839
malve,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,1.0,UNKNOWN,1839
geister_des_meeres,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,1.0,,1839
stimme_aus_der_hoehe,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,1.0,UNKNOWN,1839
ferne_stimmen_in_lueften,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011350330921309746,0.011350330921309746,1.0,,1839
erster_verhuellter,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,1.0,MALE,1839
paeonie,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011350330921309746,0.011350330921309746,1.0,UNKNOWN,1839
fremder_ritter_strahlenritter,17,6.0,3.0,6.0,3.0,4.0,0.0003968253968253968,0.004761904761904762,0.040614980747615145,0.040614980747615145,0.7058823529411764,MALE,1839
frauenbild_amanda,11,4.0,2.0,2.0,2.0,3.0,0.016666666666666666,0.031746031746031744,0.03711594968759999,0.03711594968759999,0.5454545454545454,FEMALE,1839
nereus,4,2.0,1.0,1.0,1.0,2.0,0.018253968253968255,0.018253968253968255,0.014759250416747829,0.014759250416747829,0.5,MALE,1839
enkel,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,0.5,MALE,1839
der_dorfbarbier,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007977935635947474,0.007977935635947474,0.5,MALE,1839
der_wirth,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.091009520673398,0.091009520673398,0.5,MALE,1839
dritter_schatten_hamlet,16,2.0,1.0,7.0,1.0,7.0,0.0,0.0,0.0315847026334834,0.0315847026334834,0.4375,MALE,1839
herakleitos,11,5.0,3.0,5.0,2.0,2.0,0.04523809523809524,0.05952380952380952,0.03085377515771388,0.03085377515771388,0.36363636363636365,MALE,1839
zweiter_edelmann_signor_formica,13,3.0,1.0,3.0,2.0,2.0,0.018253968253968255,0.018253968253968255,0.02310694986855804,0.02310694986855804,0.3076923076923077,MALE,1839
pontifex,9,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.007977935635947474,0.007977935635947474,0.2222222222222222,MALE,1839
erster_edelmann_signore_scarabeo,14,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0177985534500498,0.0177985534500498,0.21428571428571427,MALE,1839
wanderer_guckkastenmann,19,6.0,4.0,9.0,2.0,2.0,0.014285714285714285,0.014285714285714285,0.19537872606628426,0.19537872606628426,0.21052631578947367,MALE,1839
fiordiligi,11,3.0,2.0,4.0,1.0,1.0,0.0,0.00873015873015873,0.020355559752301078,0.020355559752301078,0.09090909090909091,FEMALE,1839
ahasverus,15,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.018095121492034294,0.018095121492034294,0.06666666666666667,MALE,1839
caspar,20,4.0,3.0,5.0,1.0,1.0,0.0007936507936507937,0.002380952380952381,0.030311624400998705,0.030311624400998705,0.05,MALE,1839
junges_maedchen,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,FEMALE,1839
moench,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014759250416747829,0.014759250416747829,0.0,MALE,1839
ruy_perez,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,MALE,1839
grossmutter,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014759250416747829,0.014759250416747829,0.0,FEMALE,1839
koenigskerze,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,UNKNOWN,1839
schaarwaechter,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,MALE,1839
sonnenblume,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.014722726206672018,0.014722726206672018,0.0,UNKNOWN,1839
die_blaue_blume,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.02099828311591305,0.02099828311591305,0.0,UNKNOWN,1839
das_gespenst,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,UNKNOWN,1839
stimme_tempel,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,MALE,1839
ariels_gesang,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,MALE,1839
zweiter_schatten,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011350330921309746,0.011350330921309746,0.0,UNKNOWN,1839
die_verhuellten,8,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.014759250416747829,0.014759250416747829,0.0,,1839
