,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
doge,178,19.0,8.0,11.0,76.0,0.3641636141636141,0.4273504273504273,0.09272410583032979,0.09272410583032979,4.6966292134831455,MALE,1795
abellino,113,16.0,7.0,9.0,32.0,0.23522588522588517,0.14743589743589744,0.16813326638337323,0.16813326638337323,2.5486725663716814,MALE,1795
parozzi,99,14.0,7.0,7.0,31.0,0.09649725274725274,0.0,0.1374169340190744,0.1374169340190744,2.191919191919192,MALE,1795
falieri,33,12.0,6.0,6.0,11.0,0.06396520146520146,0.5267094017094016,0.04715460175601981,0.04715460175601981,2.0,MALE,1795
rosamunde,100,11.0,6.0,5.0,25.0,0.05261752136752136,0.0,0.09544795126173179,0.09544795126173179,1.25,FEMALE,1795
flodoardo,114,12.0,6.0,6.0,21.0,0.06000457875457875,0.07478632478632478,0.10250955613966085,0.10250955613966085,1.1052631578947367,MALE,1795
canari,37,8.0,4.0,4.0,10.0,0.021314102564102565,0.14102564102564102,0.04819660633586401,0.04819660633586401,1.0810810810810811,MALE,1795
contarino,43,8.0,4.0,4.0,11.0,0.00518925518925519,0.03952991452991452,0.07518892134129658,0.07518892134129658,1.0232558139534884,MALE,1795
iduella,38,6.0,3.0,3.0,12.0,0.010683760683760682,0.038461538461538464,0.0425691497275164,0.0425691497275164,0.9473684210526315,FEMALE,1795
memmo,51,7.0,4.0,3.0,12.0,0.0,0.004273504273504273,0.058421036978453134,0.058421036978453134,0.7058823529411764,MALE,1795
dandolo,30,4.0,2.0,2.0,8.0,0.0,0.0,0.026209083868257196,0.026209083868257196,0.5333333333333333,MALE,1795
tolomeo,44,6.0,4.0,2.0,6.0,0.013415750915750913,0.13888888888888887,0.03269857561812813,0.03269857561812813,0.2727272727272727,MALE,1795
matteo,35,2.0,1.0,1.0,3.0,0.0,0.0,0.056402997920832434,0.056402997920832434,0.08571428571428572,MALE,1795
ein_senator,11,1.0,1.0,0.0,0.0,0.0,0.0,0.016927212819462155,0.016927212819462155,0.0,MALE,1795
diener,1,,,,,,,,,,MALE,1795
alle_5-2,1,,,,,,,,,,,1795
die_verschwornen,1,,,,,,,,,,,1795
